Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
What is the most common incident category?,Which Incident Category appears most frequently in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
incident_category_counts = db['Incident Category'].value_counts()
most_frequent_category = incident_category_counts.index[0]

return most_frequent_category
",string,Larceny Theft,Larceny Theft
Which day of the week has the highest number of incidents?,,,,ERROR,Friday
What is the most common resolution for incidents reported online?,Which value appears most frequently in the Resolution column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
resolution_counts = dataset['Resolution'].value_counts()
most_frequent_resolution = resolution_counts.idxmax()

return most_frequent_resolution
",string,Open or Active,Open or Active
What is the Police District with the most incidents?,Which Police District has the highest count of incidents in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
police_district_counts = db.groupby('Police District')['Incident ID'].count().reset_index()
max_count_district = police_district_counts.loc[police_district_counts['Incident ID'].idxmax()]['Police District']

return max_count_district
",string,Central,Central
What are the three most common incident descriptions?,Can you provide a list containing the three most frequent values found in the Incident Description column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
incident_descriptions = db[""Incident Description""].tolist()
description_counts = {}
for description in incident_descriptions:
if description in description_counts:
description_counts[description] += 1
else:
description_counts[description] = 1

sorted_descriptions = sorted(description_counts.items(), key=lambda item: item[1], reverse=True)
top_three_descriptions = [item[0] for item in sorted_descriptions[:3]]

return top_three_descriptions
",list of string,"['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']","['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']"
Name the 4 most frequently occurring police districts.,What are the names of the top 4 police districts with the highest number of incidents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
police_district_counts = dataset['Police District'].value_counts().nlargest(4).index.tolist()

return police_district_counts
",list of string,"['Central', 'Northern', 'Mission', 'Southern']","[Central, Northern, Mission, Southern]"
List the three most common incident categories on Fridays.,What are the top three most frequent values in the Incident Category column for incidents that occurred on Fridays?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
friday_incidents = dataset[dataset['Incident Day of Week'] == 'Friday']
incident_category_counts = friday_incidents['Incident Category'].value_counts()
top_three_categories = incident_category_counts.head(3).index.tolist()

return top_three_categories
",list of string,"['Larceny Theft', 'Malicious Mischief', 'Other Miscellaneous']","[Larceny Theft, Malicious Mischief, Other Miscellaneous]"
Give the 6 most common resolutions for incidents.,What are the six most frequent values present in the Resolution column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
resolution_counts = dataset['Resolution'].value_counts()
most_frequent_resolutions = resolution_counts.head(6).index.tolist()

return most_frequent_resolutions
",category,"['Open or Active', 'Cite or Arrest Adult', 'Unfounded', 'Exceptional Adult']","[Open or Active, Cite or Arrest Adult, Unfounded, Exceptional Adult]"
List the years with the top 4 highest incident counts.,What are the four Incident Years that have the highest counts of incidents?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
incident_year_counts = db['Incident Year'].value_counts().sort_values(ascending=False)
top_four_years = incident_year_counts.head(4).index.tolist()

return top_four_years
",list of (uint16),"[2018, 2019, 2022, 2021]","[2018, 2019, 2022, 2021]"
Which 3 incident years have the lowest number of online filed reports? If two have the same number choose the latest year,,,,ERROR,"[2023, 2020, 2021]"
What are the 2 years with the highest incident counts.,Return a list containing the two years for which the number of incidents is greatest in the dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
incident_counts_by_year = db.groupby('Incident Year')['Row ID'].count().reset_index()
max_incident_count = incident_counts_by_year['Row ID'].max()
years_with_max_incidents = incident_counts_by_year[incident_counts_by_year['Row ID'] == max_incident_count]['Incident Year'].tolist()

return years_with_max_incidents
",list of (uint16),[2018],"[2018, 2019]"
Name the 6 years with the most number of unique incident categories.,Identify the six years that have the highest counts of distinct incident category values.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
year_counts = db['Incident Year'].value_counts().sort_values(ascending=False)
top_six_years = year_counts.head(6).index.tolist()

return top_six_years
",list of (uint16),"[2018, 2019, 2022, 2021, 2020, 2023]","[2018, 2019, 2020, 2021, 2022, 2023]"
Do all patients experience exercise-induced angina?,"Is the ExerciseAngina column always populated with the value ""Yes"" for all patients in the dataset?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
exercise_angina_values = dataset[""ExerciseAngina""].unique()
is_always_yes = len(exercise_angina_values) == 1 and 'Yes' in exercise_angina_values

return is_always_yes
",bool,False,False
Does any patient have a resting blood pressure above 200?,Is there any row in the dataset where the RestingBP value is greater than 200?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
bp_greater_than_200 = dataset[dataset[""RestingBP""] > 200]
result = len(bp_greater_than_200) > 0

return result
",bool,False,False
Are there patients without heart disease?,Do any patients in the dataset have HeartDisease attribute set to 0?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
has_no_heart_disease = (dataset[""HeartDisease""] == 0).any()

return has_no_heart_disease
",bool,True,True
Does everyone have normal resting electrocardiographic results?,"Is the RestingECG category for every individual in the dataset equal to ""normal""?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
all_normal = (dataset[""RestingECG""] == ""normal"").all()

return all_normal
",bool,False,False
What is the maximum age of patients in the dataset?,What is the largest value in the Age column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
largest_age = db[""Age""].max()

return largest_age
",float64,77,77
What is the minimum resting blood pressure among the patients?,What is the lowest value in the RestingBP column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
lowest_resting_bp = db[""RestingBP""].min()

return lowest_resting_bp
",float64,0,0
What is the average cholesterol level in the dataset?,Calculate the mean value of Cholesterol column in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
mean_cholesterol = dataset[""Cholesterol""].mean()

return mean_cholesterol
",float64,198.7995640000000,198.7995640000000
What is the standard deviation of maximum heart rate among the patients?,Calculate the standard deviation of the MaxHR column in the dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
std_dev = db[""MaxHR""].std()

return std_dev
",float64,25.4603340000000,25.4603340000000
What is the most common chest pain type among patients?,Which value appears most frequently in the ChestPainType column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
chest_pain_counts = db['ChestPainType'].value_counts()
most_frequent_type = chest_pain_counts.idxmax()

return most_frequent_type
",string,ASY,ASY
What is the least common resting electrocardiographic result?,Which resting electrocardiographic result appears the fewest times in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
resting_ecg_counts = db['RestingECG'].value_counts()
min_count_ecg = resting_ecg_counts.idxmin()

return min_count_ecg
",string,ST,ST
What is the most common ST slope among patients with heart disease?,Which value appears most frequently in the ST_Slope column for patients where HeartDisease is true?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
heart_disease_patients = db[db[""HeartDisease""] == 1]
st_slope_counts = heart_disease_patients[""ST_Slope""].value_counts()
most_frequent_st_slope = st_slope_counts.idxmax()

return most_frequent_st_slope
",string,Flat,Flat
What is the least common chest pain type among male patients?,Can you identify the most frequent ChestPainType value when filtering for patients whose Sex is Male?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
male_patients = dataset[dataset[""Sex""] == ""Male""]
chest_pain_types = male_patients[""ChestPainType""].value_counts()
most_frequent_chest_pain_type = chest_pain_types.idxmax()

return most_frequent_chest_pain_type
",string,ATA,TA
What are the top 3 most common chest pain types?,Can you provide a ranked list containing the three most frequent values found in the ChestPainType column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
chest_pain_type_counts = dataset['ChestPainType'].value_counts()
top_3_types = chest_pain_type_counts.head(3).index.tolist()

return top_3_types
",list of string,"['ASY', 'NAP', 'ATA']","['ASY', 'NAP', 'ATA']"
Which 4 resting electrocardiographic results are least common?,What are the four most infrequent values present in the RestingECG column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
value_counts = db['RestingECG'].value_counts()
most_infrequent = value_counts.nsmallest(4).index.tolist()

return most_infrequent
",list of string,"['ST', 'LVH', 'Normal']","['ST', 'LVH', 'Normal']"
What are the 2 most common ST slopes among patients with heart disease?,Identify the two most frequent values present in the ST_Slope column for patients where HeartDisease is true?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
st_slope_values = db[db[""HeartDisease""] == 1][""ST_Slope""].value_counts().nlargest(2).index.tolist()

return st_slope_values
",list of string,"['Flat', 'Up']","['Flat', 'Up']"
What are the 4 most common chest pain types among male patients?,Could you identify the four most frequent values present in the ChestPainType column for patients whose Sex is male?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
male_patients = db[db[""Sex""] == ""m""]
chest_pain_types = male_patients[""ChestPainType""].value_counts().nlargest(4).index.tolist()

return chest_pain_types
",list of string,"['ATA', 'NAP', 'ASY', 'TA']","['TA', 'ATA', 'NAP', 'ASY']"
What are the ages of the 5 oldest patients in the dataset?,Retrieve the Age values for the top 5 patients with highest age in descending order.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
top_5_patients = db.nlargest(5, 'Age')
ages = top_5_patients['Age'].tolist()

return ages
",list of (float64),"[77, 77, 76, 76, 75]","[77, 77, 76, 76, 75]"
What are the 4 highest resting blood pressures?,Retrieve the top 4 largest values from the RestingBP column.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
top_4_restingbp = db['RestingBP'].nlargest(4).tolist()

return top_4_restingbp
",list of (uint8),"[200, 200, 200, 200]","[200, 200, 200, 200]"
What are the 6 lowest cholesterol levels in the dataset?,Retrieve the 6 smallest values from the Cholesterol column in the dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
cholesterol_values = db[""Cholesterol""].tolist()
smallest_cholesterol_values = sorted(cholesterol_values)[:6]

return smallest_cholesterol_values
",list of (uint16),"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
What are the 3 highest maximum heart rates among the patients?,Retrieve the top 3 values from the MaxHR column.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
top_3_maxhr = db['MaxHR'].nlargest(3).tolist()

return top_3_maxhr
",list of (uint8),"[202, 195, 194]","[202, 195, 194]"
Did the oldest roller coaster in the dataset still operate?,,,,ERROR,True
Is there a roller coaster in the dataset that operates at a speed more than 100 mph?,Are there any roller coasters in the dataset where the speed_mph column has a value greater than 100?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_speeds = db[""speed_mph""]
has_high_speed = (coaster_speeds > 100).any()

return has_high_speed
",bool,True,True
Are all roller coasters in the dataset designed by 'Werner Stengel' removed?,Is there any roller coaster with the designer as 'Werner Stengel'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
designer_stengel = dataset[dataset[""Designer""] == ""Werner Stengel""]
if len(designer_stengel) > 0:
return True
else:
return False
",bool,True,False
Does every roller coaster have a G-force value?,Is the G-force value available for all roller coasters in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
all_gforce_available = True
for index, row in db.iterrows():
if pd.isna(row['Gforce_clean']):
all_gforce_available = False
break

return all_gforce_available
",bool,False,False
What is the maximum speed (in mph) for roller coasters in the dataset?,What is the highest value in the speed_mph column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
answer = db[""speed_mph""].max()
return answer
",float64,149.1,149.1
How many roller coasters were introduced in the year 2000?,What is the count of roller coasters where the year_introduced attribute equals 2000?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
coaster_count = dataset[dataset[""year_introduced""] == 2000].shape[0]

return coaster_count
",int64,47,47
What is the average G-force across all roller coasters in the dataset?,Calculate the mean value of G-force from the dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
mean_gforce = db[""Gforce_clean""].mean()

return mean_gforce
",float64,3.8240060000000000,3.8240060000000000
What is the total number of roller coasters designed by 'Edwin Madeupname' in the dataset?,How many roller coasters have the designer field equal to 'Edwin Madeupname'?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_count = db[db[""Designer""] == ""Edwin Madeupname""].shape[0]

return coaster_count
",int64,0,0
Which manufacturer has built the fastest roller coaster?,What is the manufacturer associated with the roller coaster having the highest speed_mph value?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
highest_speed_coaster = db.loc[db[""speed_mph""] == db[""speed_mph""].max()]
manufacturer = highest_speed_coaster[""Manufacturer""].iloc[0]

return manufacturer
",category,Intamin,Intamin
What is the status of the roller coaster with the highest G-force?,What is the status value associated with the roller coaster that has the highest Gforce_clean value?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
highest_gforce_coaster = db.loc[db[""Gforce_clean""] == db[""Gforce_clean""].max()]
status = highest_gforce_coaster[""Status""].iloc[0]

return status
",category,Removed,Removed
What type of the roller coaster is the oldest in the dataset?,What is the value of the Type column for the roller coaster with the earliest opening_date_clean?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
earliest_coaster = db.loc[db[""opening_date_clean""] == db[""opening_date_clean""].min()]
coaster_type = earliest_coaster[""Type""].iloc[0]

return coaster_type
",category,Wood,Wood
What is the location of the roller coaster with the highest number of inversions?,Which location corresponds to the roller coaster that has the maximum value in the Inversions column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_with_max_inversions = db.loc[db[""Inversions""] == db[""Inversions""].max()]
location = coaster_with_max_inversions[""Location""].iloc[0]

return location
",string,Alton Towers,Alton Towers
What are the names of the top 3 fastest roller coasters?,Can you provide a list containing the names of the three roller coasters with the highest speed_mph values?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_names = db.sort_values(by='speed_mph', ascending=False)['Name'].head(3).tolist()

return coaster_names
",list of string,"[nan, nan, nan]","[Formula Rossa, Kingda Ka, Top Thrill Dragster]"
Which 2 roller coasters have the highest number of inversions?,Return the names of the top two roller coasters with the highest number of inversions.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_names = db.sort_values(by='Inversions', ascending=False)['coaster_name'].head(2).tolist()

return coaster_names
",list of (category),"['The Smiler', '10 Inversion Roller Coaster']","[The Smiler, Colossus (Thorpe Park)]"
What are the locations of the top 5 roller coasters with the highest G-force?,Can you provide the Location values for the five roller coasters that have the highest Gforce_clean value?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_data = db.sort_values(by='Gforce_clean', ascending=False).head(5)
locations = coaster_data['Location'].tolist()

return locations
",list of (string),"['Sea Lion Park', 'Fuji-Q Highland', 'Six Flags Over Texas', 'Nürburgring', 'Other']","[Sea Lion Park, Fuji-Q Highland, Six Flags Over Texas, Nürburgring, Morey's Piers]"
Name the 4 oldest roller coasters in the dataset.,Retrieve the names of the four roller coasters with the earliest opening dates from the dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
roller_coasters = db.sort_values(by='Opened')
earliest_four_coasters = roller_coasters.head(4)['coaster_name'].tolist()

return earliest_four_coasters
",list of string,"['Switchback Railway (Euclid Beach Park)', 'Figure Eight (Euclid Beach Park)', 'Scenic Railway (Euclid Beach Park)', 'Aero Dips']","[Switchback Railway, Flip Flap Railway, Loop the Loop (Coney Island), Loop the Loop (Young's Pier)]"
What are the top 3 speeds (in mph) of roller coasters in the dataset?,Retrieve the three highest values from the speed_mph column in the dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
top_three_speeds = db.nlargest(3, 'speed_mph')['speed_mph'].tolist()

return top_three_speeds
",list of (float64),"[149.1, 128.0, 120.0]","[149.1, 128.0, 120.0]"
List the G-force values of the 2 roller coasters with the highest G-force.,What are the G-force values corresponding to the two roller coasters that have the highest Gforce_clean value?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_data = db.sort_values(by='Gforce_clean', ascending=False).head(2)
gforces = coaster_data['Gforce_clean'].tolist()

return gforces
",list of (float64),"[12.0, 6.5]","[12.0, 6.5]"
What are the heights (in ft) of the top 4 tallest roller coasters?,Retrieve a list containing the height in feet for the four roller coasters with the highest height values.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_heights = db['height_ft'].tolist()
sorted_heights = sorted(coaster_heights, reverse=True)
top_four_heights = sorted_heights[:4]

return top_four_heights
",list of (float64),"[nan, nan, nan, nan]","[377.3, 367.5, 318.2, 306.1]"
Name the introduction years of the 6 oldest roller coasters in the dataset.,What are the year introduced values for the 6 roller coasters with the highest number of inversions?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
coaster_data = db.sort_values(by='Inversions', ascending=False).head(6)
year_introduced_values = coaster_data['year_introduced'].tolist()

return year_introduced_values
",list of uint16,"[2013, 2006, 2002, 2019, 1998, 1995]","[1884, 1895, 1901, 1901, 1902, 1902]"
Is there a rental property with exactly 5 bedrooms?,Are there any listings in the Airbnb dataset where the bedrooms attribute is exactly equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
bedrooms_equal_to_five = dataset[dataset[""bedrooms""] == 5]
if len(bedrooms_equal_to_five) > 0:
return True
else:
return False
",bool,True,True
Is there a rental property listed by a superhost that is instantly bookable?,Are there any listings that are listed by a host marked as superhost and also have the instant_bookable attribute set to True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
superhosts = dataset[dataset[""host_is_superhost""] == ""t""]
instant_bookable_listings = superhosts[superhosts[""instant_bookable""] == ""t""]

if len(instant_bookable_listings) > 0:
return True
else:
return False
",bool,True,True
Are there any rental properties that can accommodate more than 10 guests?,Are there any listings in the Airbnb dataset where the accommodates attribute value is greater than 10?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
accommodates_greater_than_10 = dataset[dataset[""accommodates""] > 10]
if len(accommodates_greater_than_10) > 0:
return True
else:
return False
",bool,True,True
Is there a rental property that has received a perfect review score?,Is there any rental property in the dataset where the review_scores_rating is equal to the maximum possible rating?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_review_score = dataset[""review_scores_rating""].max()
is_max_review_exists = (dataset[""review_scores_rating""] == max_review_score).any()

return is_max_review_exists
",bool,True,False
How many rental properties are there in the dataset?,What is the total number of listings in the Airbnb dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
total_listings = len(dataset)
return total_listings
",int64,20776,20776
What is the maximum number of bedrooms in a property?,What is the highest value found in the bedrooms column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
highest_bedrooms = dataset[""bedrooms""].max()

return highest_bedrooms
",float64,18.0,18.0
What is the highest price per night for a rental property?,,,,ERROR,95150.0
What is the maximum number of reviews a property has received?,What is the highest value present in the number_of_reviews column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
highest_review_count = dataset[""number_of_reviews""].max()

return highest_review_count
",uint16,870,870
What is the host response time for the property with the highest number of bedrooms?,,,,ERROR,within an hour
What type of room is the most expensive property?,,,,ERROR,Entire home/apt
What is the property type of the listing with the most reviews?,What is the value of the property_type column for the listing that has the highest number_of_reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_reviews_listing = dataset.loc[dataset[""number_of_reviews""] == dataset[""number_of_reviews""].max()]
property_type = max_reviews_listing[""property_type""].iloc[0]

return property_type
",string,Entire rental unit,Entire rental unit
What is the acceptance rate of the host of the property that can accommodate the most number of guests?,,,,ERROR,100.0%
Which are the 2 lowest values of host response rates above 0% ?,,,,ERROR,"['5%', '10%']"
Which are the 2 lowest values of host response rates?,,,,ERROR,"['0%', '0%']"
What are the 4 highest values of host acceptance rates?,,,,ERROR,"['99%', '99%', '99%', '99%']"
What are the 2 least common scraping sources?,What are the two most frequent values in the source column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
source_counts = dataset['source'].value_counts()
most_frequent_sources = list(source_counts.head(2).index)

return most_frequent_sources
",list of string,"['city scrape', 'previous scrape']","['previous scrape', 'city scrape']"
What are the 3 prices of the most expensive properties?,,,,ERROR,"[95150.0, 90130.0, 64430.0]"
What are the 2 prices of the least expensive properties?,,,,ERROR,"[0.0, 0.0]"
What are the 2 numbers of reviews received by the 2 most reviewed properties?,Retrieve the number of reviews for the two Airbnb properties that have received the highest number of reviews.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
top_two_reviews = dataset.nlargest(2, 'number_of_reviews')[['number_of_reviews']]

return top_two_reviews['number_of_reviews'].tolist()
",list of (uint16),"[870, 822]","[870, 822]"
What are the 5 numbers of guests accommodated by the properties that can accommodate the most guests?,"Retrieve the top 5 values from the accommodates column, representing the number of guests that can be accommodated by properties with the highest accommodation capacity.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
top_5_accommodates = dataset['accommodates'].nlargest(5).tolist()

return top_5_accommodates
",list of (int64),"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]"
Is there a food item with 'Fruits' as its group?,Does any row in the table have a value of 'Fruits' in its ‘GROUP’ column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
group_values = dataset['GROUP'].unique()
has_fruits = 'Fruits' in group_values

return has_fruits
",bool,True,True
Are there food items with 'Nuts' as their sub group?,Do any food items have a sub group of 'Nuts'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
nuts_count = dataset[dataset[""SUB GROUP""] == ""Nuts""].shape[0]
has_nuts = nuts_count > 0

return has_nuts
",bool,True,True
Is there a food item with scientific name 'Tilia argentea'?,,,,ERROR,True
Is 'Angelica' listed as a food name in the dataset?,Does the 'FOOD NAME' column contain the value 'Angelica'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
food_name_column = dataset['FOOD NAME']
contains_angelica = 'Angelica' in food_name_column.values

return contains_angelica
",bool,True,True
How many food items are there in the dataset?,What is the total number of unique food items listed in the FOOD NAME column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
unique_food_items = db['FOOD NAME'].nunique()

return unique_food_items
",int64,906,906
How many unique food groups are there in the dataset?,What is the count of distinct values present in the ‘GROUP’ column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
distinct_group_count = db['GROUP'].nunique()

return distinct_group_count
",int64,24,24
How many unique sub groups are there in the dataset?,What is the count of distinct values in the SUB GROUP column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
distinct_subgroups = db['SUB GROUP'].nunique()
return distinct_subgroups
",int64,123,123
How many unique food items are there in the dataset?,What is the number of distinct values present in the FOOD NAME column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
distinct_food_names = dataset['FOOD NAME'].nunique()

return distinct_food_names
",int64,906,906
What is the group of the food named 'Kiwi'?,What is the value of the 'GROUP' column for the row where the 'FOOD NAME' column equals 'Kiwi'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
kiwi_row = dataset[dataset['FOOD NAME'] == 'Kiwi']
group_value = kiwi_row['GROUP'].iloc[0]

return group_value
",string,Fruits,Fruits
What is the sub group of the food with scientific name 'Tilia argentea'?,Retrieve the value of the SUB GROUP column for the row where the SCIENTIFIC NAME column equals 'Tilia argentea'.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
scientific_name = ""Tilia argentea""
row = db[db['SCIENTIFIC NAME'] == scientific_name]
sub_group = row['SUB GROUP'].iloc[0]

return sub_group
",string,Herbs,Herbs
What is the scientific name of the food named 'Colorado pinyon'?,,,,ERROR,Pinus edulis
What is the food name of the item with scientific name 'Tilia argentea'?,,,,ERROR,Silver linden
What are the top 3 most common food groups?,Can you return the three most frequent values present in the GROUP column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
group_counts = db['GROUP'].value_counts()
top_three_groups = group_counts.head(3).index.tolist()

return top_three_groups
",list of string,"['Aquatic foods', 'Vegetables', 'Fruits']","['Aquatic foods', 'Vegetables', 'Fruits']"
What are the top 2 most common groups? If there are two that have the same number of appearances give preference alphabetically.,,,,ERROR,"['Aquatic foods', 'Fruits']"
What are the 5 least common food groups?,Could you provide a sorted list of the five food groups that appear least frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
group_counts = dataset['GROUP'].value_counts()
least_frequent_groups = group_counts.nsmallest(5).index.tolist()

return least_frequent_groups
",list of string,"['Eggs', 'Baby foods', 'Unclassified', 'Herbs and spices', 'Teas']","['Teas', 'Eggs', 'Baby foods', 'Unclassified', 'Herbs and spices']"
What are the 5 most common sub groups?,Can you return a list containing the top 5 most frequent values in the SUB GROUP column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
sub_group_counts = db['SUB GROUP'].value_counts()
top_5_sub_groups = sub_group_counts.head(5).index.tolist()

return top_5_sub_groups
",list of (string),"['Fishes', 'Herbs', 'Berries', 'Tropical fruits', 'Nuts']","['Fishes', 'Herbs', 'Berries', 'Tropical fruits', 'Nuts']"
What are the lengths of the top 5 most common sub group names?,"Retrieve the 'SUB GROUP' names that appear most frequently in the dataset, identify the top 5 such groups, and then determine the length of each of these top 5 sub group names.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
subgroup_counts = dataset['SUB GROUP'].value_counts()
top_5_subgroups = subgroup_counts.nlargest(5).index.tolist()
lengths = [len(sg) for sg in top_5_subgroups]

return lengths
",list of (int64),"[6, 5, 7, 15, 4]","[6, 5, 7, 15, 4]"
What are the number of appearances of the 2 least common groups?,How many times do the two most frequent values in the 'GROUP' column appear in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
group_counts = db['GROUP'].value_counts()
top_two_groups = group_counts.nlargest(2)
total_count = top_two_groups.sum()

return int(total_count)
",int64,296,"[1, 1]"
What are the number of appearances of the 3 most common groups?,,,,ERROR,"[166, 130, 130]"
What are the three most common group name lengths?,,,,ERROR,"[6.0, 13.0, 10.0]"
Is there a customer with 'Large Business' as their occupation?,Does any record in the table have an Occupation value equal to 'Large Business'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
occupation_large_business = dataset[dataset[""Occupation""] == ""Large Business""]
if len(occupation_large_business) > 0:
return True
else:
return False
",bool,True,True
Are there customers with 'King' as their pitched product?,Do any records exist where the ProductPitched column contains the value 'King'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
king_exists = (dataset[""ProductPitched""] == ""King"").any()

return king_exists
",bool,True,True
Is there a customer with designation 'VP'?,Does any record in the table have a Designation value equal to 'VP'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
vp_designation = dataset[dataset[""Designation""] == ""VP""]
has_vp = len(vp_designation) > 0

return has_vp
",bool,True,True
Is 'Unmarried' listed as a marital status in the dataset?,Does the MaritalStatus column contain the value 'Unmarried'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
marital_status_contains_unmarried = 'Unmarried' in dataset['MaritalStatus'].unique()

return marital_status_contains_unmarried
",bool,True,True
How many customers are there in the dataset?,What is the total count of unique CustomerIDs present in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
unique_customer_ids = db['CustomerID'].nunique()

return unique_customer_ids
",int64,4888,4888
How many unique occupations are there in the dataset?,What is the count of distinct values present in the Occupation column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
distinct_occupations = dataset['Occupation'].nunique()

return distinct_occupations
",int64,4,4
How many unique designations are there in the dataset?,,,,ERROR,5
How many unique marital statuses are there in the dataset?,What is the count of distinct values present in the MaritalStatus column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
distinct_marital_status = dataset['MaritalStatus'].nunique()

return distinct_marital_status
",int64,4,4
What is the occupation of the customer with ID 200000?,Can you retrieve the Occupation value for the customer whose CustomerID is 200000?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
customer_id = 200000
occupation = db[db[""CustomerID""] == customer_id][""Occupation""].iloc[0]

return occupation
",string,Salaried,Salaried
