Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
What are the top 3 speeds (in mph) of roller coasters in the dataset?,What are the three highest speeds in miles per hour for roller coasters listed in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the 'speed_mph' column and sort it in descending order to get the highest speeds
    sorted_speeds = dataset['speed_mph'].sort_values(ascending=False)
    
    # Get the top three speeds
    top_three_speeds = sorted_speeds[:3].tolist()
    
    return top_three_speeds
",list of float64,"[149.1, 128.0, 120.0]","[149.1, 128.0, 120.0]"
List the G-force values of the 2 roller coasters with the highest G-force.,,,,ERROR,"[12.0, 6.5]"
What are the heights (in ft) of the top 4 tallest roller coasters?,,,,ERROR,"[377.3, 367.5, 318.2, 306.1]"
Name the introduction years of the 6 oldest roller coasters in the dataset.,,,,ERROR,"[1884, 1895, 1901, 1901, 1902, 1902]"
Is there a rental property with exactly 5 bedrooms?,Are there any rental listings that have precisely 5 bedrooms?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if 'bedrooms' column exists in the dataset
    if 'bedrooms' not in dataset.columns:
        return False
    
    # Check for any rental listings with exactly 5 bedrooms
    result = dataset[dataset['bedrooms'] == 5].empty
    
    return result
",bool,FALSE,TRUE
Is there a rental property listed by a superhost that is instantly bookable?,Are there any Airbnb listings marked as instant bookable that are listed by a superhost?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if both 'instant_bookable' and 'host_is_superhost' columns exist in the dataset
    if 'instant_bookable' in dataset.columns and 'host_is_superhost' in dataset.columns:
        # Filter the dataset to check for listings that are instant bookable and listed by a superhost
        result = dataset[(dataset['instant_bookable'] == 't') & (dataset['host_is_superhost'] == 't')]
        
        # Check if there is any such listing
        return not result.empty

    return False
",bool,TRUE,TRUE
Are there any rental properties that can accommodate more than 10 guests?,Are there any Airbnb listings available that can accommodate more than 10 guests?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    available_listings = dataset[dataset['availability_30'] == 1]
    listings_accommodating_more_than_10_guests = available_listings[available_listings['accommodates'] > 10]
    
    is_available_for_more_than_10_guests = not listings_accommodating_more_than_10_guests.empty

    return is_available_for_more_than_10_guests
",bool,FALSE,TRUE
Is there a rental property that has received a perfect review score?,Are there any rental properties in the dataset that have received a perfect review score of 10?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if there is any listing with review_scores_rating equal to 10.0
    has_perfect_review = dataset.loc[dataset[""review_scores_rating""] == 10.0].empty
    
    return not has_perfect_review
",bool,FALSE,FALSE
How many rental properties are there in the dataset?,,,,ERROR,20776
What is the maximum number of bedrooms in a property?,What is the highest value of the bedrooms attribute across all properties listed in the Airbnb dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_bedrooms = dataset[""bedrooms""].max()
    return max_bedrooms
",float64,18,18
What is the highest price per night for a rental property?,,,,ERROR,95150
What is the maximum number of reviews a property has received?,,,,ERROR,870
What is the host response time for the property with the highest number of bedrooms?,What is the response time indicated by the host of the Airbnb property that has the highest number of bedrooms?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the listing with the maximum number of bedrooms
    max_bedrooms_listing = dataset.loc[dataset['bedrooms'].idxmax()]
    
    # Get the host response time for that listing
    host_response_time = max_bedrooms_listing['host_response_time']
    
    return host_response_time
",category,within an hour,within an hour
What type of room is the most expensive property?,,,,ERROR,Entire home/apt
What is the property type of the listing with the most reviews?,,,,ERROR,Entire rental unit
What is the acceptance rate of the host of the property that can accommodate the most number of guests?,What is the host acceptance rate for the property that has the highest capacity to accommodate guests?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the property with the highest 'accommodates' value
    max_accommodates_property = dataset.loc[dataset['accommodates'].idxmax()]
    
    # Return the host acceptance rate for that property
    host_acceptance_rate = max_accommodates_property['host_acceptance_rate']
    
    return host_acceptance_rate
",float64,,100%
Which are the 2 lowest values of host response rates above 0% ?,,,,ERROR,"['5%', '10%']"
Which are the 2 lowest values of host response rates?,,,,ERROR,"['0%', '0%']"
What are the 4 highest values of host acceptance rates?,,,,ERROR,"['99%', '99%', '99%', '99%']"
What are the 2 least common scraping sources?,,,,ERROR,"['previous scrape', 'city scrape']"
What are the 3 prices of the most expensive properties?,,,,ERROR,"[95150.0, 90130.0, 64430.0]"
What are the 2 prices of the least expensive properties?,,,,ERROR,"[0.0, 0.0]"
What are the 2 numbers of reviews received by the 2 most reviewed properties?,,,,ERROR,"[870, 822]"
What are the 5 numbers of guests accommodated by the properties that can accommodate the most guests?,,,,ERROR,"[16, 16, 16, 16, 16]"
Is there a food item with 'Fruits' as its group?,Are there any food items categorized under the group 'Fruits'?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to only include rows where the GROUP is 'Fruits'
    fruits_df = db.loc[db['GROUP'] == 'Fruits']
    
    # Check if there are any rows in the filtered dataframe
    has_fruits = not fruits_df.empty
    
    return has_fruits
",bool,TRUE,TRUE
Are there food items with 'Nuts' as their sub group?,,,,ERROR,TRUE
Is there a food item with scientific name 'Tilia argentea'?,,,,ERROR,TRUE
Is 'Angelica' listed as a food name in the dataset?,Does the dataset contain 'Angelica' under any of its food name categories?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    contains_angelica = 'Angelica' in dataset['FOOD NAME'].values
    
    return contains_angelica
",bool,TRUE,TRUE
How many food items are there in the dataset?,What is the total count of unique food items in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_food_count = dataset['FOOD NAME'].nunique()
    
    return unique_food_count
",int64,906,906
How many unique food groups are there in the dataset?,,,,ERROR,24
How many unique sub groups are there in the dataset?,,,,ERROR,123
How many unique food items are there in the dataset?,What is the total count of distinct food items in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_food_count = dataset['FOOD NAME'].nunique()
    
    return distinct_food_count
",int64,906,906
What is the group of the food named 'Kiwi'?,Under which group does the food item 'Kiwi' fall?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to get only the row for 'Kiwi'
    kiwi_row = dataset.loc[dataset['FOOD NAME'] == 'Kiwi']
    
    # Extract the group of 'Kiwi'
    group_of_kiwi = kiwi_row['GROUP'].values[0]
    
    return group_of_kiwi
",string,Fruits,Fruits
What is the sub group of the food with scientific name 'Tilia argentea'?,Under which subgroup does the food item with scientific name Tilia argentea fall?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to find the row with the scientific name 'Tilia argentea'
    tilia_row = db.loc[db['SCIENTIFIC NAME'] == 'Tilia argentea']
    
    # Return the subgroup of the filtered row
    answer = tilia_row['SUB GROUP'].values[0]
    
    return answer
",category,Herbs,Herbs
What is the scientific name of the food named 'Colorado pinyon'?,Which is the scientific name associated with the food entry for Colorado pinyon?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to find the entry for 'Colorado pinyon'
    target_entry = db.loc[db['FOOD NAME'] == 'Colorado pinyon']
    
    # Get the associated scientific name
    scientific_name = target_entry['SCIENTIFIC NAME'].iloc[0]
    
    return scientific_name
",string,Pinus edulis,Pinus edulis
What is the food name of the item with scientific name 'Tilia argentea'?,Which food item has the scientific name Tilia argentea?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    matching_food_item = dataset.loc[dataset['SCIENTIFIC NAME'] == 'Tilia argentea', 'FOOD NAME']
    if not matching_food_item.empty:
        return matching_food_item.iloc[0]
    else:
        return None

def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    matching_food_item = dataset.loc[dataset['SCIENTIFIC NAME'] == 'Tilia argentea', 'FOOD NAME']
    if not matching_food_item.empty:
        return matching_food_item.iloc[0]
    else:
        return ""Not Found""
",string,Silver linden,Silver linden
What are the top 3 most common food groups?,Which are the three most frequent food groups present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Count the frequency of each food group
    food_group_counts = dataset['GROUP'].value_counts().head(3)
    
    # Convert the counts to a list of strings
    most_frequent_groups = food_group_counts.index.tolist()
    
    return most_frequent_groups
",list of (string),"['Aquatic foods', 'Vegetables', 'Fruits']","['Aquatic foods', 'Vegetables', 'Fruits']"
What are the top 2 most common groups? If there are two that have the same number of appearances give preference alphabetically.,,,,ERROR,"['Aquatic foods', 'Fruits']"
What are the 5 least common food groups?,Which are the five categories that appear least frequently under the food groups?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Count the frequency of each category in the 'GROUP' column
    group_counts = dataset['GROUP'].value_counts().sort_values(ascending=True)[:5]
    
    # Get the categories that appear least frequently
    least_frequent_categories = list(group_counts.index)
    
    return least_frequent_categories
",list of (string),"['Herbs and spices', 'Baby foods', 'Eggs', 'Unclassified', 'Teas']","['Teas', 'Eggs', 'Baby foods', 'Unclassified', 'Herbs and spices']"
What are the 5 most common sub groups?,,,,ERROR,"['Fishes', 'Herbs', 'Berries', 'Tropical fruits', 'Nuts']"
What are the lengths of the top 5 most common sub group names?,What is the length of each of the top 5 most frequent sub group names?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the 'SUB GROUP' column from the dataset
    sub_group_column = dataset['SUB GROUP']
    
    # Get the top 5 most frequent sub group names and their counts
    top_5_sub_groups = sub_group_column.value_counts().head(5)
    
    # Calculate the length of each of these top 5 sub group names
    lengths_of_top_5 = top_5_sub_groups.index.map(len).tolist()
    
    return lengths_of_top_5
",list of int64,"[6, 5, 7, 15, 4]","[6, 5, 7, 15, 4]"
What are the number of appearances of the 2 least common groups?,,,,ERROR,"[1, 1]"
What are the number of appearances of the 3 most common groups?,,,,ERROR,"[166, 130, 130]"
What are the three most common group name lengths?,Which are the three most frequent lengths of group names?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the 'GROUP' column from the dataset
    group_column = dataset['GROUP']
    
    # Get the lengths of each group name
    group_lengths = group_column.str.len()
    
    # Get the value counts of these lengths
    length_counts = group_lengths.value_counts().sort_index()
    
    # Get the three most frequent lengths
    top_three_lengths = length_counts.head(3).index.tolist()
    
    return top_three_lengths
",list of (int64),"[3.0, 4.0, 6.0]","[6.0, 13.0, 10.0]"
Is there a customer with 'Large Business' as their occupation?,Are there any customers whose occupation is listed as 'Large Business'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    result = dataset[dataset[""Occupation""] == ""Large Business""].empty
    return result
",bool,FALSE,TRUE
Are there customers with 'King' as their pitched product?,Do any customers have their pitched product listed as 'King'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    is_product_pitched_king = dataset['ProductPitched'].isin(['King'])
    
    return is_product_pitched_king.any()
",bool,TRUE,TRUE
Is there a customer with designation 'VP'?,Are there any customers having designation VP?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    result = dataset[dataset['Designation'] == 'VP']
    return not result.empty
",bool,TRUE,TRUE
Is 'Unmarried' listed as a marital status in the dataset?,Does the dataset include 'Unmarried' as a value in the MaritalStatus category?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if 'MaritalStatus' is in the dataset columns
    if 'MaritalStatus' in dataset.columns:
        # Check if 'Unmarried' exists in the MaritalStatus column
        is_unmarried_present = 'Unmarried' in dataset['MaritalStatus'].unique()
    else:
        # If 'MaritalStatus' is not a column, assume it's not present
        is_unmarried_present = False
    
    return is_unmarried_present
",bool,TRUE,TRUE
How many customers are there in the dataset?,,,,ERROR,4888
How many unique occupations are there in the dataset?,,,,ERROR,4
How many unique designations are there in the dataset?,What is the total number of distinct designations present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_designations = dataset['Designation'].nunique()
    
    return unique_designations
",int64,5,5
How many unique marital statuses are there in the dataset?,,,,ERROR,4
What is the occupation of the customer with ID 200000?,Which occupation is associated with the customer having ID 200000?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    customer_id = 200000
    occupation = dataset.loc[dataset['CustomerID'] == customer_id]['Occupation'].values[0]
    return occupation
",string,Salaried,Salaried
What is the product pitched to the customer with ID 200001?,,,,ERROR,Deluxe
What is the designation of the customer with ID 200002?,,,,ERROR,Executive
What is the marital status of the customer with ID 200003?,,,,ERROR,Divorced
What are the 3 most common occupations?,Which are the top three most frequent occupations among the customers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    occupation_counts = dataset['Occupation'].value_counts().head(3)
    top_three_occupations = occupation_counts.index.tolist()
    
    return top_three_occupations
",list of string,"['Salaried', 'Small Business', 'Large Business']","['Salaried', 'Small Business', 'Large Business']"
What are the top 2 most common pitched products?,,,,ERROR,"['Basic', 'Deluxe']"
What are the 4 least common occupations?,Which are the least frequently occurring occupations in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    occupation_counts = dataset['Occupation'].value_counts()
    less_frequent_occupations = occupation_counts[occupation_counts == occupation_counts.min()].index.tolist()
    return less_frequent_occupations
",list of string,['Free Lancer'],"['Salaried', 'Small Business', 'Large Business', 'Free Lancer']"
What are the 2 least common pitched products?,,,,ERROR,"['Super Deluxe', 'King']"
What are the ages of the 3 oldest customers?,What are the ages of the customers who are the oldest among the top three?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by age in descending order to get the oldest customers at the top
    sorted_dataset = dataset.sort_values(by='Age', ascending=False)
    
    # Select the ages of the top three customers
    top_three_ages = sorted_dataset.head(3)['Age'].tolist()
    
    return top_three_ages
",list of float64,"[61.0, 61.0, 61.0]","[61, 61, 61]"
What are the ages of the 4 youngest customers?,What are the ages associated with the four customers who have the lowest Age values?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Sort the dataset by age in ascending order and get the first four entries
    sorted_customers = dataset.sort_values(by='Age').head(4)
    
    # Extract the ages of these customers
    ages = sorted_customers['Age'].tolist()
    
    return ages
",list of float64,"[18.0, 18.0, 18.0, 18.0]","[18.0, 18.0, 18.0, 18.0]"
What are the top 2 highest monthly incomes of the customers?,,,,ERROR,"[98678, 95000]"
What are the 4 most common duration of pitch?,Which are the four most frequent values of DurationOfPitch in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    answer = db['DurationOfPitch'].value_counts().index.tolist()[:4]
    return answer
",list of (type),"[9.0, 7.0, 8.0, 6.0]","[9.0, 7.0, 8.0, 6.0]"
Is there any entry posted on a weekend?,Are there any entries posted on weekends?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if any entry has a weekday_name of 'Saturday' or 'Sunday'
    weekend_entries = dataset['weekday_name'].isin(['Saturday', 'Sunday'])
    
    return weekend_entries.any()
",bool,TRUE,TRUE
Are there titles with more than 100 characters?,Does the dataset contain any titles that exceed 100 characters in length?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    exceeds_100_characters = dataset[dataset['title_gx_text_length'] > 100]['title_gx_text_length'].notnull().any()
    
    return exceeds_100_characters
",bool,FALSE,FALSE
Do any entries have a negative sentiment according to the Cardiff NLP model?,,,,ERROR,FALSE
"Is the term 'linux' mentioned in the ""Clusters II"" column?","Does the ""Clusters II"" column contain the term 'linux'?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    contains_linux = 'linux' in dataset['Clusters II'].values
    return contains_linux
",bool,FALSE,TRUE
How many entries were posted in the morning?,What is the total number of entries that were posted during the morning?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only entries posted during the morning
    morning_entries = dataset[dataset['partofday'] == 'Morning']
    
    # Count the total number of such entries
    total_morning_entries = len(morning_entries)
    
    return total_morning_entries
",int64,0,1516
What's the highest score received by an entry?,What is the maximum score achieved by any entry?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_score = dataset[""score""].max()
    return max_score
",uint16,6015,6015
"On average, how many descendants does an entry have?",What is the average number of descendants per entry?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    average_descendants = dataset[""descendants""].mean()
    
    return average_descendants
",float64,339.2486205,339.2486205
How many entries are in the Autumn season?,,,,ERROR,2301
Which day of the week has the most entries?,,,,ERROR,Tuesday
What is the predominant language used in titles?,Which language is predominantly used in the titles?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    predominant_language = dataset['title_gx_lang'].mode().iloc[0]
    return predominant_language
",string,en,en
In which season was the entry with the highest score posted?,During which season was the entry having the highest score posted?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_score_entry = dataset.loc[dataset[""score""] == dataset[""score""].max()]
    season_of_max_score = max_score_entry[""season""].values[0]
    
    return season_of_max_score
",string,Spring,Spring
On which part of the day are most entries posted?,During which part of the day are the majority of entries recorded?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Calculate the frequency of entries for each part of the day
    part_of_day_counts = dataset['partofday'].value_counts()
    
    # Get the most common part of the day
    majority_part_of_day = part_of_day_counts.idxmax()
    
    return majority_part_of_day
",category,afternoon,afternoon
"List the top 4 most frequent terms in the ""Clusters II"" column.",,,,ERROR,"['year, work, new', 'google, web, firefox, open', 'apple, linux, rust, iphone', 'facebook, twitter, die, account']"
Name the 2 month names which appear less in the dataset.,Which two month names appear the least frequency in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Count the frequency of each month name
    month_counts = dataset['month_name'].value_counts()

    # Find the minimum count
    min_count = month_counts.min()

    # Filter months that have the minimum count
    least_frequent_months = month_counts[month_counts == min_count].index.tolist()

    return least_frequent_months
",list of string,['July'],"['December', 'July']"
Identify the top 3 weekdays based on entry frequency.,,,,ERROR,"['Tuesday', 'Wednesday', 'Thursday']"
Provide the bottom 4 seasons in terms of entry count.,Which are the seasons with the lowest entry count?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Group by 'season' and count the entries
    season_counts = dataset.groupby('season').size()
    
    # Find the minimum entry count
    min_count = season_counts.min()
    
    # Filter seasons with the minimum entry count
    seasons_with_lowest_entry_count = season_counts[season_counts == min_count].index.tolist()
    
    return seasons_with_lowest_entry_count
",list of category,['Summer'],"['Spring', 'Winter', 'Autumn', 'Summer']"
List the top 3 scores in the dataset.,,,,ERROR,"[6015, 5771, 4338]"
Name the bottom 5 title text lengths.,,,,ERROR,"[1.0, 2.0, 2.0, 2.0, 2.0]"
Identify the top 4 numbers of descendants.,What are the top 4 highest values of descendants?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_four_descendants = dataset['descendants'].nlargest(4).tolist()
    return top_four_descendants
",list of float64,"[4576.0, 3678.0, 3676.0, 3463.0]","[4576.0, 3678.0, 3676.0, 3463.0]"
Provide the bottom 6 scores in the dataset.,,,,ERROR,"[501, 501, 501, 501, 501, 501]"
Are there any employees with more than 7 projects?,,,,ERROR,FALSE
Has any employee worked for more than 300 hours on average per month?,Were there any employees who averaged more than 300 hours per month over their tenure?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Calculate the average monthly hours for each employee
    avg_hours_per_month = dataset.groupby('Date Hired')['Average Monthly Hours'].mean()
    
    # Check if there are any averages greater than 300
    result = avg_hours_per_month > 300
    
    return result.any()
",bool,TRUE,TRUE
Are all satisfaction levels above 0.5?,Is it true that every staff member has a satisfaction level greater than 0.5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    is_everyone_satisfied = dataset['Satisfaction Level'].gt(0.5).all()
    
    return is_everyone_satisfied
",bool,FALSE,FALSE
Were there any employees hired in 2019?,Did any employees join the company in the year 2019?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the year from the 'Date Hired' column
    hired_year = dataset['Date Hired'].dt.year
    
    # Check if any employees joined in the year 2019
    joined_2019 = hired_year.isin([2019]).any()
    
    return joined_2019
",bool,TRUE,TRUE
How many unique departments are there?,What is the total number of distinct departments available in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    num_distinct_departments = dataset['Department'].nunique()
    
    return num_distinct_departments
",int64,10,10
What's the maximum number of years an employee has been in the company?,What is the highest value recorded for the number of years an employee has been in the company?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_years_in_company = db[""Years in the Company""].max()
    return max_years_in_company
",uint8,10,10
How many employees have been promoted in the last 5 years?,How many employees have been promoted within the last five years?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataframe to only include employees who were promoted in the last 5 years
    promoted_employees = db.loc[db['Promoted in the last 5 years?'] == 'yes']
    
    # Count the number of unique employees who were promoted
    num_promoted = promoted_employees.shape[0]
    
    return num_promoted
",int64,0,319
"On average, how many hours do employees work monthly?",What is the average number of monthly hours worked by employees?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    average_monthly_hours = dataset[""Average Monthly Hours""].mean()
    
    return average_monthly_hours
",float64,201.0503367,201.05
Which department has the highest number of employees?,What is the department that employs the largest workforce?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Count the number of employees in each department
    department_counts = dataset['Department'].value_counts()
    
    # Get the department with the maximum count
    largest_department = department_counts.idxmax()
    
    return largest_department
",string,sales,sales
What's the most common salary level among employees?,Which is the most frequent salary level among employees?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the mode of the 'salary' column
    most_frequent_salary = dataset['salary'].mode().iloc[0]
    
    return most_frequent_salary
",category,low,low
Which year had the highest number of employees hired?,In which year was the maximum number of employees hired?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the 'Date Hired' column from the dataset
    date_hired = dataset['Date Hired']
    
    # Convert the 'Date Hired' column to year format
    years_hired = date_hired.dt.year
    
    # Find the year with the maximum number of employees hired
    max_year_hired = years_hired.mode()[0]
    
    return max_year_hired
",int64,2017,2017
Which salary level has the least number of employees who had an accident at work?,What is the salary level with the fewest employees who experienced a work accident?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter out rows where Work Accident is not 'yes'
    filtered_data = dataset[dataset['Work Accident'] == 'yes']
    
    # Group by salary and count the number of employees who experienced a work accident in each salary category
    grouped_data = filtered_data.groupby('salary').size()
    
    # Find the salary with the minimum count
    min_salary_count = grouped_data.idxmin()
    
    return min_salary_count

",category,low,high
Name the top 4 departments with the most employees.,Which are the four departments having the highest number of employees?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Extract department names and their corresponding counts
    department_counts = db['Department'].value_counts().head(4)
    
    # Convert the result to a list of strings
    top_departments = list(department_counts.index)
    
    return top_departments
",list of string,"['sales', 'technical', 'support', 'IT']","['sales', 'technical', 'support', 'IT']"
List the 3 departments with the most number of promotions in the last 5 years that have at least one promotion. ,,,,ERROR,"['hr', 'accounting', 'IT']"
Identify the 3 departments with the lowest average satisfaction levels.,Which are the three departments having the lowest average satisfaction levels?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Calculate the mean satisfaction level for each department
    dept_satisfaction = dataset.groupby('Department')['Satisfaction Level'].mean().reset_index()
    
    # Sort the departments based on their satisfaction levels in ascending order
    sorted_depts = dept_satisfaction.sort_values(by='Satisfaction Level')
    
    # Select the top 3 departments with the lowest satisfaction levels
    top_three_depts = sorted_depts.head(3)['Department'].tolist()
    
    return top_three_depts
",list of (type),"['accounting', 'hr', 'technical']","['accounting', 'hr', 'technical']"
What are the 2 departments with the lowest average monthly hours worked?,Which are the two departments that have the lowest average monthly hours worked?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Group by department and calculate the mean of 'Average Monthly Hours'
    avg_hours_by_department = dataset.groupby('Department')['Average Monthly Hours'].mean().reset_index()
    
    # Sort the departments based on average monthly hours in ascending order
    sorted_departments = avg_hours_by_department.sort_values(by='Average Monthly Hours')
    
    # Select the top two departments with the lowest average monthly hours
    top_two_departments = sorted_departments.head(2)['Department'].tolist()
    
    return top_two_departments
",list of (string),"['hr', 'marketing']","['hr', 'marketing']"
Identify the top 3 years with the highest employee hiring.,Which are the three years with the highest number of employee hires?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the 'Date Hired' column
    date_hired = pd.to_datetime(dataset['Date Hired'], utc=True)
    
    # Extract the year from the 'Date Hired' column
    years_hired = date_hired.dt.year
    
    # Group by year and count the number of hires for each year
    hires_by_year = years_hired.value_counts().sort_index(ascending=False).head(3).index.tolist()
    
    return hires_by_year
",list of (int64),"[2019, 2018, 2017]","['2017', '2018', '2016']"
Which are the highest 3 satisfaction levels among employees who left?,What are the top three highest satisfaction levels for employees who have left the company?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter data for those who have left the company
    left_employees = dataset[dataset[""Left""] == ""yes""]
    
    # Extract satisfaction levels for employees who have left
    satisfaction_levels = left_employees[""Satisfaction Level""].dropna()
    
    # Get the top three highest satisfaction levels
    top_three_satisfaction = satisfaction_levels.nlargest(3).tolist()
    
    return top_three_satisfaction
",list of float64,[],"[0.92, 0.92, 0.92]"
List the bottom 5 average monthly hours among employees who were promoted in the last 5 years.,"Can you provide a list of the lowest average monthly hours for employees who were promoted within the last five years, and are limited to the bottom five entries?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset for employees who were promoted in the last five years
    promoted_employees = dataset[dataset['Promoted in the last 5 years?'] == 'yes']
    
    # Sort these employees by average monthly hours and select the bottom five
    bottom_five_promoted = promoted_employees.sort_values(by='Average Monthly Hours').head(5)
    
    # Extract the 'Average Monthly Hours' for these bottom five promoted employees
    result = bottom_five_promoted['Average Monthly Hours'].tolist()
    
    return result
",list of int64,[],"[215, 133, 159, 241, 247]"
Whhat are the top 6 last evaluation scores?,What are the highest six Last Evaluation scores recorded in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_six_last_evaluations = dataset['Last Evaluation'].nlargest(6).tolist()
    return top_six_last_evaluations
",list of float64,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 1, 1, 1, 1]"
Did any incident result in the total destruction of the aircraft?,Were there any incidents where the aircraft was completely destroyed?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if the 'Aircaft_Damage_Type' column exists in the dataset
    if 'Aircaft_Damage_Type' not in dataset.columns:
        raise ValueError(""The column 'Aircaft_Damage_Type' is not available in the provided dataset."")
    
    # Filter incidents where the aircraft was completely destroyed
    completely_destroyed_incidents = dataset[dataset[""Aircaft_Damage_Type""] == ""Completely Destroyed""]
    
    # Check if there are any such incidents
    result = not completely_destroyed_incidents.empty
    
    return result
",bool,FALSE,TRUE
Have there been any incidents where the cause was related to the undercarriage of the aircraft?,,,,ERROR,TRUE
Has there been any instance where the ground casualties were non-zero?,,,,ERROR,TRUE
Are there incidents where the aircraft was involved in a collision?,,,,ERROR,TRUE
How many unique aircraft models are in the dataset?,,,,ERROR,3523
What's the highest number of occupants recorded in an incident?,,,,ERROR,524
How many incidents occurred in January 2022?,,,,ERROR,7
How many incidents resulted in non-zero fatalities?,What is the total number of incidents that had non-zero fatalities?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Calculate the total number of incidents with non-zero fatalities
    num_incidents = dataset[dataset['Fatalities'] > 0].shape[0]
    
    return num_incidents
",int64,9231,0
Which aircraft model was involved in the most incidents?,,,,ERROR,Junkers Ju-52/3m
What was the cause of the incident that resulted in the most fatalities?,,,,ERROR,"Airplane - Pressurization, Airplane - Pressurization - Bulkhead failure, Airplane - Pressurization - Explosive decompression, Maintenance - (repair of) previous damage, Result - Loss of control"
What is the most common phase of aircraft during incidents?,,,,ERROR,En route (ENR)
