Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
What are the 4 highest ratings given by reviewers?,What are the top 4 highest ratings given by reviewers in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_4_ratings = dataset['Rating'].sort_values(ascending=False).unique()[:4].tolist()
    return top_4_ratings",list of (uint8),"[5, 4, 3, 2]","[5, 4, 3, 2]"
What are the 5 oldest Ages of reviewers?,What are the top 5 highest ages of the reviewers in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_highest_ages = dataset['Age'].sort_values(ascending=False).unique()[:5].tolist()
    return top_5_highest_ages",list of (uint8),"[99, 94, 93, 92, 91]","[99, 99, 94, 94, 94]"
What are the 4 most common Positive Feedback Counts of reviewers?,What are the top 4 most frequent values in the Positive Feedback Count column of the reviewers data?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    positive_feedback_counts = dataset[""Positive Feedback Count""].value_counts().head(4).index.tolist()
    return positive_feedback_counts",list of (int64),"[0, 1, 2, 3]","[0, 1, 2, 3]"
What are the 2 most common values for recommendation indicator?,What are the two most frequently occurring values in the Recommended IND column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    recommended_ind_counts = dataset[""Recommended IND""].value_counts()
    most_frequent_values = recommended_ind_counts.nlargest(2).index.tolist()
    most_frequent_values = [str(value) for value in most_frequent_values]
    
    return most_frequent_values",list of (string),"['1', '0']","[1, 0]"
What are the 2 most common clothing IDs in the reviews? If you find a tie answer in row order.,"What are the two most frequently occurring Clothing IDs in the dataset, resolving any ties based on their order of appearance in the data?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    clothing_id_counts = dataset['Clothing ID'].value_counts()
    most_frequent_ids = clothing_id_counts.nlargest(2).index.tolist()
    
    return most_frequent_ids",list of (uint16),"[1078, 862]","[1078, 862]"
Was the highest reported incident in the year 2023 filed online?,Does the incident with the highest incident number in the year 2023 have the filed online attribute set to yes or true?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incident_2023 = dataset[dataset[""Incident Year""] == 2023]
    max_incident_number = incident_2023[""Incident Number""].max()
    max_incident_number_individual = incident_2023.loc[incident_2023[""Incident Number""] == max_incident_number]
    is_filed_online = max_incident_number_individual[""Filed Online""].str.lower().eq(""yes"") | max_incident_number_individual[""Filed Online""].str.lower().eq(""true"")

    return is_filed_online.bool()",bool,False,False
Are all incidents reported on Mondays resolved?,Is the resolution category not empty for all incidents where the incident day of week is Monday?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    monday_incidents = dataset[dataset[""Incident Day of Week""] == ""Monday""]
    resolution_not_empty = (monday_incidents[""Resolution""] != """").all()

    return resolution_not_empty",bool,True,False
Do any incidents reported in Police District 'Central' fall in Supervisor District 5?,Are there any incidents where the Police District is 'Central' and the Supervisor District is 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incidents = dataset[(dataset[""Police District""] == ""Central"") & (dataset[""Supervisor District""] == 5.0)]
    return len(incidents) > 0",bool,True,False
Are there any incidents that occurred at the same latitude and longitude more than once?,Are there any duplicate latitude and longitude pairs in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    latitude_longitude_pairs = dataset[['Latitude', 'Longitude']].drop_duplicates()
    unique_pairs_count = len(latitude_longitude_pairs)
    total_pairs_count = len(dataset)

    return unique_pairs_count < total_pairs_count",bool,True,True
How many unique types of incident categories are there in the dataset?,What is the number of distinct values in the Incident Category column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_incident_categories = dataset[""Incident Category""].nunique()
    return distinct_incident_categories",int64,49,49
What's the total number of incidents reported online?,What is the total count of incidents where the report was filed online?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    total_count = dataset[dataset[""Filed Online""] == ""Yes""].shape[0]
    return total_count",int64,0,144099
How many different police districts are there in the dataset?,What is the number of unique police districts in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_police_districts = dataset[""Police District""].nunique()
    return unique_police_districts",int64,11,11
What is the average incident count per year?,What is the mean of the total incident counts grouped by the Incident Year?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incident_counts = dataset.groupby(""Incident Year"").size()
    mean_incident_count = incident_counts.mean()

    return mean_incident_count",float64,118851.16666700000,118851.16666700000
What is the most common incident category?,What is the mode of the Incident Category column in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mode_incident_category = dataset[""Incident Category""].mode().iloc[0]
    return mode_incident_category",string,Larceny Theft,Larceny Theft
Which day of the week has the highest number of incidents?,What is the Incident Day of Week category that occurs most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_day = dataset['Incident Day of Week'].mode().values[0]
    return most_frequent_day",string,Friday,Friday
What is the most common resolution for incidents reported online?,What is the most frequently occurring value in the Resolution column of the incidents reported online?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    online_incidents = dataset[dataset[""Filed Online""] == ""TRUE""]
    resolution_counts = online_incidents[""Resolution""].value_counts()
    most_frequent_resolution = resolution_counts.idxmax()

    return most_frequent_resolution",string,Open or Active,Open or Active
What is the Police District with the most incidents?,Which Police District has the highest frequency of incidents in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    police_district_counts = dataset[""Police District""].value_counts()
    most_frequent_police_district = police_district_counts.idxmax()

    return most_frequent_police_district",string,Central,Central
What are the three most common incident descriptions?,What are the top three most frequent values in the Incident Description column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incident_description_counts = dataset[""Incident Description""].value_counts()
    top_three_most_frequent = incident_description_counts.nlargest(3).index.tolist()
    
    return top_three_most_frequent",list of (string),"['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']","['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']"
Name the 4 most frequently occurring police districts.,What are the top 4 most frequent Police Districts in the given dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_4_police_districts = dataset['Police District'].value_counts().head(4).index.tolist()
    return top_4_police_districts",list of (string),"['Central', 'Northern', 'Mission', 'Southern']","[Central, Northern, Mission, Southern]"
List the three most common incident categories on Fridays.,What are the top three most frequent incident categories that occur when the day of the week is Friday?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    friday_incidents = dataset[dataset[""Incident Day of Week""] == ""Friday""]
    incident_categories = friday_incidents[""Incident Category""].value_counts().head(3).index.tolist()
    
    return incident_categories",list of (string),"['Larceny Theft', 'Malicious Mischief', 'Other Miscellaneous']","[Larceny Theft, Malicious Mischief, Other Miscellaneous]"
Give the 6 most common resolutions for incidents.,What are the top 6 most frequent resolutions for incidents in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
resolutions = dataset[""Resolution""].value_counts().head(6).index.tolist()
return resolutions",list of (string),"['Open or Active', 'Cite or Arrest Adult', 'Unfounded', 'Exceptional Adult']","[Open or Active, Cite or Arrest Adult, Unfounded, Exceptional Adult]"
List the years with the top 4 highest incident counts.,What are the top 4 years with the highest number of incidents based on the Incident Year column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incident_year_counts = dataset['Incident Year'].value_counts()
    top_4_years = incident_year_counts.nlargest(4).index.tolist()
    
    return top_4_years",list of (int64),"[2018, 2019, 2022, 2021]","[2018, 2019, 2022, 2021]"
Which 3 incident years have the lowest number of online filed reports? If two have the same number choose the latest year,,,,ERROR,"[2023, 2020, 2021]"
What are the 2 years with the highest incident counts.,Which two years have the highest number of incident counts in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incident_counts = dataset['Incident Year'].value_counts()
    top_two_years = incident_counts.nlargest(2).index.tolist()
    
    return top_two_years",list of (int64),"[2018, 2019]","[2018, 2019]"
Name the 6 years with the most number of unique incident categories.,What are the 6 years with the highest count of distinct incident categories in the Incident Category column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incident_years = dataset['Incident Year'].unique()
    year_category_counts = {}
    for year in incident_years:
        year_data = dataset[dataset['Incident Year'] == year]
        distinct_categories = year_data['Incident Category'].nunique()
        year_category_counts[year] = distinct_categories

    sorted_years = sorted(year_category_counts, key=year_category_counts.get, reverse=True)
    top_6_years = sorted_years[:6]

    return top_6_years",list of (int64),"[np.uint16(2018), np.uint16(2022), np.uint16(2019), np.uint16(2021), np.uint16(2020), np.uint16(2023)]","[2018, 2019, 2020, 2021, 2022, 2023]"
Do all patients experience exercise-induced angina?,"Is the ExerciseAngina attribute the same for all patients, specifically indicating that they all experience exercise-induced angina?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    exercise_angina_values = dataset[""ExerciseAngina""].unique()
    is_same_for_all = len(exercise_angina_values) == 1 and exercise_angina_values[0] == 'Yes'

    return is_same_for_all",bool,False,False
Does any patient have a resting blood pressure above 200?,Is there at least one patient with a resting blood pressure greater than 200 in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_high_bp = (dataset[""RestingBP""] > 200).any()
    return has_high_bp",bool,False,False
Are there patients without heart disease?,Does the dataset contain any patients where the HeartDisease attribute is 0?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_no_heart_disease = dataset[""HeartDisease""].isin([0]).any()
    return has_no_heart_disease",bool,True,True
Does everyone have normal resting electrocardiographic results?,Are all the RestingECG results normal?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_resting_ecg_values = dataset[""RestingECG""].unique()
    is_all_normal = len(unique_resting_ecg_values) == 1 and unique_resting_ecg_values[0] == 'Normal'

    return is_all_normal",bool,False,False
What is the maximum age of patients in the dataset?,What is the highest age value present in the Age column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age = dataset[""Age""].max()
    return max_age",uint8,77,77
What is the minimum resting blood pressure among the patients?,What is the lowest value of RestingBP among all the patients in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    lowest_resting_bp = dataset[""RestingBP""].min()
    return lowest_resting_bp",uint8,0,0
What is the average cholesterol level in the dataset?,What is the mean value of the Cholesterol column in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_cholesterol = dataset[""Cholesterol""].mean()
    return mean_cholesterol",float64,198.7995640000000,198.7995640000000
What is the standard deviation of maximum heart rate among the patients?,What is the standard deviation of the maximum heart rate values in the MaxHR column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_hr_std_dev = dataset[""MaxHR""].std()

    return max_hr_std_dev",float64,25.4603340000000,25.4603340000000
What is the most common chest pain type among patients?,Which category of ChestPainType appears most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_chest_pain_type = dataset[""ChestPainType""].mode().iloc[0]
    return most_frequent_chest_pain_type",string,ASY,ASY
What is the least common resting electrocardiographic result?,What is the resting electrocardiographic result that appears least frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    least_frequent_ecg = dataset[""RestingECG""].value_counts().idxmin()
    return least_frequent_ecg",string,ST,ST
What is the most common ST slope among patients with heart disease?,What is the most frequently occurring ST slope category among patients where HeartDisease is greater than 0?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    patients_with_heart_disease = dataset[dataset[""HeartDisease""] > 0]
    most_frequent_st_slope = patients_with_heart_disease[""ST_Slope""].mode().iloc[0]

    return most_frequent_st_slope",string,Flat,Flat
What is the least common chest pain type among male patients?,Which chest pain type has the lowest frequency among male patients in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    male_patients = dataset[dataset[""Sex""] == ""Male""]
    chest_pain_counts = male_patients[""ChestPainType""].value_counts()
    lowest_frequency_pain = chest_pain_counts.idxmin()

    return lowest_frequency_pain",string,ATA,TA
What are the top 3 most common chest pain types?,What are the three most frequently occurring values in the ChestPainType column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    chest_pain_type_counts = dataset[""ChestPainType""].value_counts()
    top_three_values = chest_pain_type_counts.nlargest(3).index.tolist()
    
    return top_three_values",list of (string),"['ASY', 'NAP', 'ATA']","['ASY', 'NAP', 'ATA']"
Which 4 resting electrocardiographic results are least common?,What are the four least frequent values in the RestingECG column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    least_frequent_values = dataset[""RestingECG""].value_counts().nsmallest(4).index.tolist()
    return least_frequent_values",list of (string),"['ST', 'LVH', 'Normal']","['ST', 'LVH', 'Normal']"
What are the 2 most common ST slopes among patients with heart disease?,What are the two most frequently occurring ST_Slope categories for patients where HeartDisease is greater than 0?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    patients_with_heart_disease = dataset[dataset[""HeartDisease""] > 0]
    st_slope_counts = patients_with_heart_disease[""ST_Slope""].value_counts()
    two_most_frequent_st_slope = st_slope_counts.nlargest(2).index.tolist()
    
    return two_most_frequent_st_slope",list of (string),"['Flat', 'Up']","['Flat', 'Up']"
What are the 4 most common chest pain types among male patients?,List the top 4 most frequent chest pain types for patients where the sex is male?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    male_patients = dataset[dataset[""Sex""] == ""Male""]
    chest_pain_counts = male_patients[""ChestPainType""].value_counts()
    top_4_chest_pain_types = chest_pain_counts.nlargest(4).index.tolist()
    
    return top_4_chest_pain_types",list of (string),"['ATA', 'NAP', 'ASY', 'TA']","['TA', 'ATA', 'NAP', 'ASY']"
What are the ages of the 5 oldest patients in the dataset?,What are the ages of the top 5 oldest patients in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_oldest_patients = dataset.nlargest(5, 'Age')
    ages_of_top_5_oldest_patients = top_5_oldest_patients['Age'].tolist()
    
    return ages_of_top_5_oldest_patients",list of (float64),"[77, 77, 76, 76, 75]","[77, 77, 76, 76, 75]"
What are the 4 highest resting blood pressures?,What are the four largest values in the RestingBP column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    largest_values = dataset['RestingBP'].nlargest(4).tolist()
    return largest_values",list of (int64),"[200, 200, 200, 200]","[200, 200, 200, 200]"
What are the 6 lowest cholesterol levels in the dataset?,What are the six smallest values in the Cholesterol column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    smallest_values = dataset['Cholesterol'].nsmallest(6).tolist()
    return smallest_values",list of (uint16),"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
What are the 3 highest maximum heart rates among the patients?,"What are the top 3 maximum heart rates in the dataset, as represented by the MaxHR column?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_hr_values = dataset[""MaxHR""].sort_values(ascending=False).head(3).tolist()
    return max_hr_values",list of (int64),"[202, 195, 194]","[202, 195, 194]"
Did the oldest roller coaster in the dataset still operate?,,,,ERROR,True
Is there a roller coaster in the dataset that operates at a speed more than 100 mph?,Does any roller coaster in the dataset have a speed greater than 100 mph as indicated by the speed_mph attribute?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_speed_greater_than_100 = (dataset[""speed_mph""] > 100).any()
    return has_speed_greater_than_100",bool,True,True
Are all roller coasters in the dataset designed by 'Werner Stengel' removed?,Are there no roller coasters in the dataset that were designed by 'Werner Stengel' and have a status of not removed?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    werner_stengel_coasters = dataset[(dataset[""Designer""] == ""Werner Stengel"") & (dataset[""Status""] != ""Removed"")]
    return len(werner_stengel_coasters) == 0",bool,False,False
Does every roller coaster have a G-force value?,Is the G-force value present for all roller coasters in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    g_force_values = dataset[""G-force""].notnull()
    is_g_force_present_for_all = g_force_values.all()

    return is_g_force_present_for_all",bool,False,False
What is the maximum speed (in mph) for roller coasters in the dataset?,What is the maximum value of speed_mph for all roller coasters in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_speed_mph = dataset[""speed_mph""].max()
return max_speed_mph",float64,149.1,149.1
How many roller coasters were introduced in the year 2000?,What is the count of roller coasters where the year of introduction is 2000?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count_2000_coasters = len(dataset[dataset[""year_introduced""] == 2000])
    return count_2000_coasters",int64,47,47
What is the average G-force across all roller coasters in the dataset?,"What is the mean value of G-force across all the roller coasters in the dataset, considering the G-force values from the Gforce_clean column?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
mean_gforce = dataset[""Gforce_clean""].mean()
return mean_gforce",float64,3.8240060000000000,3.8240060000000000
What is the total number of roller coasters designed by 'Edwin Madeupname' in the dataset?,How many roller coasters in the dataset were designed by Edwin Madeupname?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
roller_coasters_designed_by_edwin = dataset[dataset[""Designer""] == ""Edwin Madeupname""]
count = len(roller_coasters_designed_by_edwin)

return count",int64,0,0
Which manufacturer has built the fastest roller coaster?,What is the manufacturer of the roller coaster with the highest speed in miles per hour?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_speed_coaster = dataset.loc[dataset[""speed_mph""] == dataset[""speed_mph""].max()]
manufacturer = max_speed_coaster[""Manufacturer""].iloc[0]

return manufacturer",string,Intamin,Intamin
What is the status of the roller coaster with the highest G-force?,What is the status of the roller coaster with the maximum G-force value in the Gforce_clean column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_gforce_coaster = db.loc[db[""Gforce_clean""] == db[""Gforce_clean""].max()]
    status = max_gforce_coaster[""Status""].iloc[0]

    return status",category,Removed,Removed
What type of the roller coaster is the oldest in the dataset?,What is the type of the roller coaster with the earliest opening date in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
earliest_opening_date_coaster = dataset.loc[dataset[""opening_date_clean""] == dataset[""opening_date_clean""].min()]
coaster_type = earliest_opening_date_coaster[""Type""].iloc[0]

return coaster_type",category,Wood,Wood
What is the location of the roller coaster with the highest number of inversions?,What is the location of the roller coaster with the maximum number of inversions as per the Inversions_clean column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_inversions_coaster = dataset.loc[dataset[""Inversions_clean""] == dataset[""Inversions_clean""].max()]
location = max_inversions_coaster[""Location""].iloc[0]

return location",category,Alton Towers,Alton Towers
What are the names of the top 3 fastest roller coasters?,What are the coaster_name values of the top 3 roller coasters with the highest speed_mph values?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
top_3_coasters = dataset.nlargest(3, 'speed_mph')
coaster_names = top_3_coasters['coaster_name'].tolist()

return coaster_names",list of (string),"['Formula Rossa', 'Kingda Ka', 'Top Thrill Dragster']","[Formula Rossa, Kingda Ka, Top Thrill Dragster]"
Which 2 roller coasters have the highest number of inversions?,What are the names of the top 2 roller coasters with the most inversions?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_2_coasters = dataset.nlargest(2, 'Inversions_clean')
    names = top_2_coasters['coaster_name'].tolist()
    return names",list of (string),"['The Smiler', 'Colossus (Thorpe Park)']","[The Smiler, Colossus (Thorpe Park)]"
What are the locations of the top 5 roller coasters with the highest G-force?,What are the locations of the top 5 roller coasters ranked by their Gforce_clean values in descending order?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
top_5_coasters = dataset.sort_values(by='Gforce_clean', ascending=False).head(5)
locations = top_5_coasters['Location'].tolist()

return locations",list of (string),"['Sea Lion Park', 'Fuji-Q Highland', 'Six Flags Over Texas', 'Nürburgring', 'Other']","[Sea Lion Park, Fuji-Q Highland, Six Flags Over Texas, Nürburgring, Morey's Piers]"
Name the 4 oldest roller coasters in the dataset.,What are the names of the 4 roller coasters with the earliest opening dates in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    earliest_coasters = dataset.sort_values(by='opening_date_clean').head(4)
    coaster_names = earliest_coasters['coaster_name'].tolist()

    return coaster_names",list of (string),"['Switchback Railway', 'Flip Flap Railway', 'Loop the Loop (Coney Island)', ""Loop the Loop (Young's Pier)""]","[Switchback Railway, Flip Flap Railway, Loop the Loop (Coney Island), Loop the Loop (Young's Pier)]"
What are the top 3 speeds (in mph) of roller coasters in the dataset?,What are the top three values in the speed_mph column of the roller coaster dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    top_three_speeds = db['speed_mph'].nlargest(3).tolist()
    return top_three_speeds",list of (float64),"[149.1, 128.0, 120.0]","[149.1, 128.0, 120.0]"
List the G-force values of the 2 roller coasters with the highest G-force.,"What are the G-force values of the top 2 roller coasters with the highest G-force values in the dataset, based on the Gforce_clean column?","def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    top_2_gforce_coasters = db.nlargest(2, 'Gforce_clean')
    gforce_values = top_2_gforce_coasters['Gforce_clean'].tolist()
    
    return gforce_values",list of (float64),"[12.0, 6.5]","[12.0, 6.5]"
What are the heights (in ft) of the top 4 tallest roller coasters?,What are the heights in feet of the four roller coasters with the greatest height in feet?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_height_coasters = dataset.nlargest(4, 'height_ft')
    heights = max_height_coasters['height_ft'].tolist()
    
    return heights",list of (float64),"[377.3, 367.5, 318.2, 306.1]","[377.3, 367.5, 318.2, 306.1]"
Name the introduction years of the 6 oldest roller coasters in the dataset.,"What are the opening years of the 6 oldest roller coasters in the dataset, sorted by their opening date or year introduced?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    dataset['year_introduced'] = pd.to_numeric(dataset['year_introduced'], errors='coerce')
    oldest_coasters = dataset.sort_values(by='year_introduced').head(6)
    opening_years = oldest_coasters['year_introduced'].tolist()
    return opening_years",list of (int64),"[1884, 1895, 1896, 1901, 1901, 1902]","[1884, 1895, 1901, 1901, 1902, 1902]"
Is there a rental property with exactly 5 bedrooms?,Does any rental property have a bedrooms attribute equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_five_bedrooms = dataset[""bedrooms""].eq(5).any()
    return has_five_bedrooms",bool,True,True
Is there a rental property listed by a superhost that is instantly bookable?,Does any rental property exist where the host is a superhost and the property is instantly bookable?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    superhost_and_instantly_bookable = dataset[(dataset[""host_is_superhost""] == ""t"") & (dataset[""instant_bookable""] == ""t"")]
    return not superhost_and_instantly_bookable.empty",bool,True,True
Are there any rental properties that can accommodate more than 10 guests?,Does any rental property have an accommodates value greater than 10?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_accommodates_greater_than_10 = (dataset[""accommodates""] > 10).any()
    return has_accommodates_greater_than_10",bool,True,True
Is there a rental property that has received a perfect review score?,"Does any rental property have a perfect review score, i.e., a review_scores_rating of 100?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    perfect_review_score = dataset[dataset[""review_scores_rating""] == 100].empty == False
    return perfect_review_score",bool,False,False
How many rental properties are there in the dataset?,What is the total count of unique rental properties in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_properties = dataset['id'].nunique()
    return unique_properties",int64,20776,20776
What is the maximum number of bedrooms in a property?,What is the highest value in the bedrooms column across all properties?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_bedrooms = dataset[""bedrooms""].max()
    return max_bedrooms",float64,18.0,18.0
What is the highest price per night for a rental property?,What is the maximum price per night for any rental property in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_price = dataset['price'].str.replace('$', '').str.replace(',', '').astype(float).max()
    return max_price",float64,95150.0,95150.0
What is the maximum number of reviews a property has received?,What is the highest value in the number_of_reviews column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_number_of_reviews = dataset[""number_of_reviews""].max()
    return max_number_of_reviews",int64,870,870
What is the host response time for the property with the highest number of bedrooms?,What is the host response time for the property with the maximum number of bedrooms?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_bedrooms_property = dataset.loc[dataset[""bedrooms""] == dataset[""bedrooms""].max()]
    host_response_time = max_bedrooms_property[""host_response_time""].iloc[0]

    return host_response_time",string,within an hour,within an hour
What type of room is the most expensive property?,,,,ERROR,Entire home/apt
What is the property type of the listing with the most reviews?,What is the property type of the listing with the maximum number of reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_reviews_listing = dataset.loc[dataset[""number_of_reviews""] == dataset[""number_of_reviews""].max()]
    property_type = max_reviews_listing[""property_type""].iloc[0]

    return property_type",category,Entire rental unit,Entire rental unit
What is the acceptance rate of the host of the property that can accommodate the most number of guests?,What is the host acceptance rate of the property with the maximum number of guests it can accommodate?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_accommodates_property = dataset.loc[dataset[""accommodates""] == dataset[""accommodates""].max()]
    host_acceptance_rate = max_accommodates_property[""host_acceptance_rate""].iloc[0]

    return host_acceptance_rate",category,,100.0%
Which are the 2 lowest values of host response rates above 0% ?,What are the two smallest host response rates that are greater than 0% in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    host_response_rates = dataset['host_response_rate'].str.rstrip('%').astype('float')
    non_zero_response_rates = host_response_rates[host_response_rates > 0]
    two_smallest_response_rates = non_zero_response_rates.nsmallest(2).tolist()
    return two_smallest_response_rates",list of (float64),"[5.0, 10.0]","['5%', '10%']"
Which are the 2 lowest values of host response rates?,What are the two smallest host response rates in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    host_response_rates = dataset['host_response_rate'].str.rstrip('%').astype('float')
    two_smallest_rates = host_response_rates.nsmallest(2).tolist()
    return two_smallest_rates",list of (float64),"[0.0, 0.0]","['0%', '0%']"
What are the 4 highest values of host acceptance rates?,What are the top 4 host acceptance rates in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    host_acceptance_rates = dataset['host_acceptance_rate'].str.rstrip('%').astype('float') / 100
    top_4_host_acceptance_rates = host_acceptance_rates.nlargest(4).tolist()
    
    return top_4_host_acceptance_rates",list of (float64),"[1.0, 1.0, 1.0, 1.0]","['99%', '99%', '99%', '99%']"
What are the 2 least common scraping sources?,What are the two least frequently occurring values in the source column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    source_counts = dataset['source'].value_counts()
    least_frequent_sources = source_counts.nsmallest(2).index.tolist()
    return least_frequent_sources",list of (string),"['previous scrape', 'city scrape']","['previous scrape', 'city scrape']"
What are the 3 prices of the most expensive properties?,What are the top 3 highest prices of properties in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    prices = dataset['price'].str.replace('$', '').str.replace(',', '').astype(float)
    top_3_highest_prices = prices.nlargest(3).tolist()
    return top_3_highest_prices",list of (float64),"[95150.0, 90130.0, 64430.0]","[95150.0, 90130.0, 64430.0]"
What are the 2 prices of the least expensive properties?,What are the two lowest prices in the price column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    prices = pd.to_numeric(dataset[""price""].str.replace(""$"", """").str.replace("","", """"))
    lowest_two_prices = prices.nsmallest(2).tolist()
    return lowest_two_prices",list of (float64),"[0.0, 0.0]","[0.0, 0.0]"
