Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
No tornado has a length greater than 100 miles.,Is there no tornado in the dataset with a length exceeding 100 miles?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_length = dataset[""len""].max()
    no_tornado_over_100 = max_length <= 100
    
    return no_tornado_over_100",bool,False,True
There are no tornadoes that resulted in more than 100 fatalities.,Is the count of tornadoes with fatalities exceeding 100 equal to zero?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count_tornadoes_with_fatalities = len(dataset[dataset[""fat""] > 100])
    is_zero = count_tornadoes_with_fatalities == 0
    
    return is_zero",bool,False,True
How many unique states are represented in the dataset?,What is the count of distinct state categories present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_states_count = dataset[""st""].nunique()
    return distinct_states_count
",int64,53,53
What is the highest magnitude of tornado recorded in the dataset?,What is the maximum value in the mag column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_mag = dataset[""mag""].max()
    return max_mag",int8,5,5
What is the longest length of a tornado path in the dataset?,What is the maximum value in the len column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_len = dataset[""len""].max()
    return max_len
",float64,234.7,234.7
What is the maximum number of injuries caused by a single tornado?,What is the highest value in the injuries column of the tornado dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_injuries = dataset[""inj""].max()
    return max_injuries
",uint16,1740,1740
Which state has experienced the most tornadoes?,What is the state (st) with the highest count of tornado occurrences?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    state_counts = dataset[""st""].value_counts()
    max_state = state_counts.idxmax()
    
    return max_state",string,TX,TX
In which month do most tornadoes occur?,What is the month number with the highest count of tornado occurrences?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    month_counts = dataset['mo'].value_counts()
    max_month = month_counts.idxmax()
    
    return max_month",uint8,5,5
On what date did the most destructive tornado (by injuries) occur?,What is the date of the tornado that caused the highest number of injuries?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_injuries_row = dataset.loc[dataset[""inj""] == dataset[""inj""].max()]
    tornado_date = max_injuries_row[""date""].iloc[0]
    
    return tornado_date","datetime64[us, UTC]",10-04-1979,10-04-1979
On what date did the longest tornado (by path length) occur?,What is the date corresponding to the tornado with the maximum path length?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_len_tornado = dataset.loc[dataset[""len""] == dataset[""len""].max()]
    date = max_len_tornado[""date""].iloc[0]
    
    return date","datetime64[us, UTC]",22-03-1953,22-03-1953
Which are the top 5 states with the highest average tornado magnitude?,What are the names of the 5 states that have the highest average magnitude of tornados?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    state_avg_mag = dataset.groupby('st')['mag'].mean().sort_values(ascending=False)
    top_5_states = state_avg_mag.head(5).index.tolist()
    return top_5_states",list of string,"['AR', 'KY', 'VT', 'TN', 'MS']","[AR, KY, VT, TN, MS]"
Which are the top 2 states with the most tornado-related injuries? If in a tie then select alphabetically. ,"What are the two states with the highest number of injuries caused by tornadoes, sorted alphabetically in case of a tie?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    state_injuries = dataset.groupby('st')['inj'].sum().reset_index()
    top_states = state_injuries.nlargest(2, 'inj')['st'].sort_values().tolist()
    return top_states
",list of string,"['TX', 'AL']","[TX, AL]"
Which are the top 4 states with the most tornado-related fatalities? If you find a tie select alphabetically.,"What are the names of the top 4 states with the highest number of fatalities caused by tornadoes, sorted alphabetically in case of ties?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    fatalities_by_state = dataset.groupby('st')['fat'].sum().reset_index()
    sorted_states = fatalities_by_state.sort_values(['fat', 'st'], ascending=[False, True])
    top_states = sorted_states.head(4)['st'].tolist()
    
    return top_states",list of string,"['AL', 'TX', 'MS', 'OK']","[AL, TX, MS, OK]"
Which are the bottom 2 states in terms of the average tornado path length?,What are the two states with the smallest average tornado path lengths?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    avg_length_by_state = dataset.groupby('st')['len'].mean().sort_values()
    smallest_avg_states = avg_length_by_state.head(2).index.tolist()
    
    return smallest_avg_states",list of string,"['AK', 'VI']","[AK, VI]"
What are the top 3 number of injuries caused by tornadoes in the dataset?,Retrieve the top 3 highest injury counts from the inj column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_injuries = dataset.nlargest(3, 'inj')['inj'].tolist()
    return top_injuries",list of (uint16),"[1740, 1500, 1228]","[1740, 1500, 1228]"
What are the top 5 magnitudes of tornadoes in the dataset?,Retrieve the 5 highest values from the mag column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_mag = dataset.nlargest(5, 'mag')['mag'].tolist()
    return top_5_mag
",list of (int8),"[5, 5, 5, 5, 5]","[5, 5, 5, 5, 5]"
What are the top 4 path lengths of tornadoes in the dataset?,Retrieve the four largest values from the len column in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    largest_lengths = dataset[""len""].nlargest(4).tolist()
    return largest_lengths
",list of float64,"[234.7, 217.8, 202.5, 202.1]","[234.7, 217.8, 202.5, 202.1]"
What are the top 6 number of fatalities caused by tornadoes in the dataset?,Retrieve the top 6 highest fatality counts from the fat column in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_fatalities = dataset.nlargest(6, 'fat')['fat'].tolist()
    return top_fatalities
",list of (uint8),"[158, 116, 114, 94, 80, 72]","[158, 116, 114, 94, 80, 72]"
There were no days when the precipitation was greater than 5 inches.,Is it true that no records exist where the precipitation value exceeds 5 inches?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_high_precipitation = (dataset[""PRCP""] > 5).any()
    return not has_high_precipitation",bool,False,False
All recorded temperatures are above freezing point.,Are all the minimum recorded temperatures (TMIN) greater than 0 degrees Celsius?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    all_tmin_above_zero = (dataset[""TMIN""] > 0).all()
    return all_tmin_above_zero",bool,False,False
There were no days when the snow depth was more than 10 inches.,Is it true that the snow depth never exceeded 10 inches on any day?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_snow_depth = dataset[""SNWD""].max()
    answer = max_snow_depth <= 10.0
    return answer",bool,False,False
There were no days when the maximum temperature was below freezing point.,Is it true that the highest recorded temperature never dropped below freezing point on any day?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_temp = dataset[""TMAX""].max()
    days_with_max_temp = dataset[dataset[""TMAX""] == max_temp]
    min_temp_on_max_temp_days = days_with_max_temp[""TMIN""].min()
    answer = min_temp_on_max_temp_days >= 32.0  # Freezing point is 32°F
    
    return answer",bool,True,False
What is the highest recorded precipitation in inches?,What is the maximum value in the PRCP column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_prcp = dataset[""PRCP""].max()
    return max_prcp
",float64,8.28,8.28
What is the lowest minimum temperature recorded?,What is the smallest value in the TMIN column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_tmin = dataset[""TMIN""].min()
    return min_tmin",float64,-015.0,-015.0
What is the highest maximum temperature recorded?,What is the maximum value in the TMAX column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_tmax = dataset[""TMAX""].max()
    return max_tmax
",float64,106.0,106.0
What is the deepest recorded snow depth in inches?,What is the maximum value recorded in the SNWD column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_snwd = dataset[""SNWD""].max()
    return max_snwd
",float64,26.0,26.0
On which date was the highest precipitation recorded?,What is the date corresponding to the maximum precipitation value in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_prcp_row = dataset.loc[dataset[""PRCP""] == dataset[""PRCP""].max()]
    date = max_prcp_row[""DATE""].iloc[0]
    
    return date","datetime64[us, UTC]",23-09-3782,23-09-3782
On which date was the lowest minimum temperature recorded?,What is the date corresponding to the record with the smallest minimum temperature value?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_temp_record = dataset.loc[dataset[""TMIN""] == dataset[""TMIN""].min()]
    date = min_temp_record[""DATE""].iloc[0]
    
    return date",datetime64[us],09-02-1934,09-02-1934
On which date was the highest maximum temperature recorded?,What is the date corresponding to the highest value in the TMAX column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_tmax_date = dataset.loc[dataset[""TMAX""] == dataset[""TMAX""].max(), ""DATE""].iloc[0]
    return max_tmax_date",datetime64[us],09-07-1936,09-07-1936
On which date was the deepest snow depth recorded?,What is the date corresponding to the maximum snow depth recorded?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_snow_depth_row = dataset.loc[dataset[""SNWD""] == dataset[""SNWD""].max()]
    date = max_snow_depth_row[""DATE""].iloc[0]
    
    return date
",datetime64[us],27-12-1947,27-12-1947
What are the dates of the top 5 highest recorded precipitation events?,Retrieve the dates corresponding to the top 5 highest precipitation values in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_precip_dates = dataset.nlargest(5, 'PRCP')['DATE'].tolist()
    return top_precip_dates","list of datetime64[us, UTC]","[Timestamp('1882-09-23 00:00:00+0000', tz='UTC'), Timestamp('2007-04-15 00:00:00+0000', tz='UTC'), Timestamp('1977-11-08 00:00:00+0000', tz='UTC'), Timestamp('1903-10-09 00:00:00+0000', tz='UTC'), Timestamp('2021-09-01 00:00:00+0000', tz='UTC')]","[1882-09-23, 2007-04-15, 1977-11-08, 1903-10-09, 2021-09-01]"
What are the dates of the top 3 lowest minimum temperatures recorded?,Retrieve the dates corresponding to the three smallest values in the TMIN column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    smallest_tmin_dates = dataset.nsmallest(3, 'TMIN')['DATE'].tolist()
    return smallest_tmin_dates
","list of (datetime64[us, UTC])","[Timestamp('1934-02-09 00:00:00+0000', tz='UTC'), Timestamp('1917-12-30 00:00:00+0000', tz='UTC'), Timestamp('1943-02-15 00:00:00+0000', tz='UTC')]","[1934-02-09, 1917-12-30, 1943-02-15]"
What are the dates of the top 4 highest maximum temperatures recorded?,Retrieve the dates corresponding to the four highest maximum temperature values recorded.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    sorted_data = dataset.sort_values(by=""TMAX"", ascending=False)
    top_dates = sorted_data.head(4)[""DATE""].tolist()
    return top_dates","list of datetime64[us, UTC]","[Timestamp('1936-07-09 00:00:00+0000', tz='UTC'), Timestamp('1977-07-21 00:00:00+0000', tz='UTC'), Timestamp('1918-08-07 00:00:00+0000', tz='UTC'), Timestamp('2011-07-22 00:00:00+0000', tz='UTC')]","[1936-07-09, 1918-08-07, 1977-07-21, 2011-07-22]"
What are the dates of the top 2 deepest snow depth recorded?,Retrieve the dates corresponding to the two highest values in the snow depth column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    sorted_data = dataset.sort_values(""SNWD"", ascending=False)
    top_two_dates = sorted_data[""DATE""].head(2).tolist()
    return top_two_dates",list of datetime64[us],"[Timestamp('1947-12-27 00:00:00+0000', tz='UTC'), Timestamp('1947-12-28 00:00:00+0000', tz='UTC')]","[1947-12-27, 1947-12-28]"
What are the 3 highest recorded precipitation events in inches?,Retrieve the top 3 precipitation values in inches from the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_precipitations = dataset.nlargest(3, 'PRCP')['PRCP'].tolist()
    return top_precipitations",list of (float64),"[8.28, 7.57, 7.4]","[8.28, 7.57, 7.4]"
What are the 5 lowest minimum temperatures recorded?,Retrieve the 5 smallest values from the TMIN column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    smallest_tmin = dataset.nsmallest(5, 'TMIN')['TMIN'].tolist()
    return smallest_tmin",list of (float64),"[-15.0, -13.0, -8.0, -7.0, -7.0]","[-15.0, -13.0, -8.0, -7.0, -7.0]"
What are the 4 highest maximum temperatures recorded?,Retrieve the top 4 highest values from the TMAX column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_4_tmax = dataset.nlargest(4, 'TMAX')['TMAX'].tolist()
    return top_4_tmax",list of (float64),"[106.0, 104.0, 104.0, 104.0]","[106.0, 104.0, 104.0, 104.0]"
What are the 2 deepest snow depth recorded in inches?,"Retrieve the two highest values from the SNWD column, which represents snow depth in inches.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_two_snwd = dataset.nlargest(2, 'SNWD')['SNWD'].tolist()
    return top_two_snwd",list of (float64),"[26.0, 25.0]","[26.0, 25.0]"
Are there more than 20 unique clothing items in the dataset?,Does the count of distinct clothing IDs exceed 20?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_clothing_ids = dataset[""Clothing ID""].nunique()
    answer = distinct_clothing_ids > 20
    return answer",bool,True,True
Is the age of the reviewers above 50 years on average?,Is the average age of reviewers greater than 50?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    average_age = dataset[""Age""].mean()
    is_greater_than_50 = average_age > 50
    
    return is_greater_than_50",bool,False,False
Do all reviews come from the same department?,Are all the reviews in the dataset from a single department name?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_departments = dataset[""Department Name""].nunique()
    is_single_department = unique_departments == 1
    
    return is_single_department",bool,False,False
Are all products recommended?,Is the Recommended IND value equal to 1 for all products in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    all_recommended = (dataset[""Recommended IND""] == 1).all()
    return all_recommended
",bool,False,False
What is the average age of the reviewers?,Calculate the mean age of all reviewers in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_age = dataset[""Age""].mean()
    return mean_age",float64,43.198544000000000,43.198544000000000
What's the highest number of positive feedback received for a review?,What is the maximum value in the Positive Feedback Count column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_feedback = dataset[""Positive Feedback Count""].max()
    return max_feedback",uint8,122,122
What is the most common rating given by reviewers?,Which rating value appears most frequently in the Rating column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_rating = dataset[""Rating""].mode().iloc[0]
    return most_frequent_rating",uint8,5,5
How many unique clothing items are there in the dataset?,What is the count of distinct clothing IDs in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_clothing_ids = dataset[""Clothing ID""].nunique()
    return distinct_clothing_ids",int64,1206,1206
Which department has the most reviews?,What is the name of the department with the highest count of reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    department_counts = dataset[""Department Name""].value_counts()
    top_department = department_counts.idxmax()
    
    return top_department",string,Tops,Tops
Which class of clothing is most commonly reviewed?,What is the class name that appears most frequently in the reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    class_counts = dataset[""Class Name""].value_counts()
    most_frequent_class = class_counts.idxmax()
    
    return most_frequent_class",string,Dresses,Dresses
Which division is most commonly mentioned in the reviews?,What is the division name that appears most frequently in the review text?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    division_counts = dataset['Division Name'].value_counts()
    most_frequent_division = division_counts.idxmax()
    
    return most_frequent_division",string,General,General
What is the most frequently reviewed clothing item? If you find a tie answer with row order.,"Which clothing item, identified by Clothing ID, appears most frequently in the reviews? In case of a tie, return the first one in the dataset.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    clothing_id_counts = dataset[""Clothing ID""].value_counts()
    most_frequent_id = clothing_id_counts.idxmax()
    
    return str(most_frequent_id)",string,1078,1078
Which are the 4 most reviewed categories in Department Name?,What are the top 4 department names with the highest number of reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    department_reviews = dataset.groupby('Department Name').size().reset_index(name='count')
    top_departments = department_reviews.sort_values('count', ascending=False).head(4)
    result = top_departments['Department Name'].tolist()
    
    return result",list of string,"['Tops', 'Dresses', 'Bottoms', 'Intimate']","['Tops', 'Dresses', 'Bottoms', 'Intimate']"
Which are the top 2 most reviewed categories in Class Name?,What are the two Class Name categories that have the highest number of reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    class_counts = dataset['Class Name'].value_counts()
    top_two_classes = class_counts.nlargest(2).index.tolist()
    return top_two_classes",list of string,"['Dresses', 'Knits']","['Dresses', 'Knits']"
Which are the 2 most reviewed categories in Division Name?,What are the top 2 division names with the highest number of reviews?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    division_counts = dataset[""Division Name""].value_counts().head(2)
    top_divisions = division_counts.index.tolist()
    
    return top_divisions",list of string,"['General', 'General Petite']","['General', 'General Petite']"
What are the 4 highest ratings given by reviewers?,Retrieve the top 4 distinct values from the Rating column in descending order.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_ratings = dataset['Rating'].unique()
    top_ratings_sorted = sorted(top_ratings, reverse=True)[:4]
    return top_ratings_sorted",list of (uint8),"[np.uint8(5), np.uint8(4), np.uint8(3), np.uint8(2)]","[5, 4, 3, 2]"
What are the 5 oldest Ages of reviewers?,Retrieve the top 5 highest values from the Age column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_ages = dataset[""Age""].nlargest(5).tolist()
    return top_5_ages
",list of (uint8),"[99, 99, 94, 94, 94]","[99, 99, 94, 94, 94]"
What are the 4 most common Positive Feedback Counts of reviewers?,What are the top 4 most frequently occurring values in the Positive Feedback Count column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_feedback_counts = dataset['Positive Feedback Count'].value_counts().head(4).index.tolist()
    return top_feedback_counts
",list of (uint8),"[0, 1, 2, 3]","[0, 1, 2, 3]"
What are the 2 most common values for recommendation indicator?,What are the top two most frequently occurring values in the Recommended IND column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_values = dataset['Recommended IND'].value_counts().nlargest(2).index.tolist()
    return top_values
",list of (uint8),"[1, 0]","[1, 0]"
What are the 2 most common clothing IDs in the reviews? If you find a tie answer in row order.,"Return the top 2 clothing IDs that appear most frequently in the reviews, resolving ties by selecting the first ones in the dataset.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_clothing_ids = dataset['Clothing ID'].value_counts().head(2).index.tolist()
    return top_clothing_ids",list of (uint16),"[1078, 862]","[1078, 862]"
Was the highest reported incident in the year 2023 filed online?,"For the incident with the highest reported incident number in 2023, was the filed online attribute set to True?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter incidents from 2023
    incidents_2023 = dataset[dataset['Incident Year'] == 2023]
    # Find the incident with the highest incident number
    max_incident = incidents_2023.loc[incidents_2023['Incident Number'] == incidents_2023['Incident Number'].max()]
    # Check if 'Filed Online' is True
    is_filed_online = max_incident['Filed Online'].iloc[0] == 'True'
    
    return is_filed_online
",bool,False,False
Are all incidents reported on Mondays resolved?,Is the resolution status for every incident that occurred on a Monday marked as resolved?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    monday_incidents = dataset[dataset['Incident Day of Week'] == 'Monday']
    all_resolved = (monday_incidents['Resolution'] == 'Resolved').all()
    return all_resolved
",bool,False,False
Do any incidents reported in Police District 'Central' fall in Supervisor District 5?,Are there any records where the Police District is 'Central' and the Supervisor District is 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    filtered_records = dataset[(dataset['Police District'] == 'Central') & (dataset['Supervisor District'] == 5)]
    answer = not filtered_records.empty
    return answer
",bool,True,False
Are there any incidents that occurred at the same latitude and longitude more than once?,Do any latitude and longitude coordinates appear more than once in the incident records?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    coord_counts = dataset.groupby(['Latitude', 'Longitude']).size()
    has_duplicate_coords = (coord_counts > 1).any()
    
    return has_duplicate_coords
",bool,True,True
How many unique types of incident categories are there in the dataset?,What is the count of distinct incident categories present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_categories_count = dataset[""Incident Category""].nunique()
    return distinct_categories_count",int64,49,49
What's the total number of incidents reported online?,What is the sum of incidents where the Filed Online attribute is not empty?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    non_empty_filed_online = dataset[dataset[""Filed Online""].notna()]
    sum_incidents = len(non_empty_filed_online)
    
    return sum_incidents
",int64,144099,144099
How many different police districts are there in the dataset?,What is the count of unique police districts present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_police_districts = dataset[""Police District""].nunique()
    return unique_police_districts
",int64,11,11
What is the average incident count per year?,What is the mean number of incidents recorded each year?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    incidents_per_year = dataset.groupby('Incident Year').size()
    mean_incidents = incidents_per_year.mean()
    
    return mean_incidents
",float64,118851.16666700000,118851.16666700000
What is the most common incident category?,Which incident category occurs most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_category = dataset[""Incident Category""].mode()[0]
    return most_frequent_category
",string,Larceny Theft,Larceny Theft
Which day of the week has the highest number of incidents?,What is the day of the week with the most incidents recorded?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    day_counts = dataset[""Incident Day of Week""].value_counts()
    most_common_day = day_counts.idxmax()
    
    return most_common_day",string,Friday,Friday
What is the most common resolution for incidents reported online?,Which resolution value appears most frequently in the resolution column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_resolution = dataset[""Resolution""].mode()[0]
    return most_frequent_resolution",string,Open or Active,Open or Active
What is the Police District with the most incidents?,Which police district has the highest count of incidents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    district_counts = dataset[""Police District""].value_counts()
    top_district = district_counts.idxmax()
    
    return top_district
",string,Central,Central
What are the three most common incident descriptions?,Which three incident descriptions appear most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_incidents = dataset['Incident Description'].value_counts().head(3).index.tolist()
    return top_incidents
",list of string,"['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']","['Theft, From Locked Vehicle, >$950', 'Malicious Mischief, Vandalism to Property', 'Battery']"
Name the 4 most frequently occurring police districts.,What are the names of the top 4 police districts with the highest number of incidents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_districts = dataset['Police District'].value_counts().head(4).index.tolist()
    return top_districts",list of string,"['Central', 'Northern', 'Mission', 'Southern']","[Central, Northern, Mission, Southern]"
List the three most common incident categories on Fridays.,What are the top three incident categories that occur most frequently on Fridays?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    friday_incidents = dataset[dataset['Incident Day of Week'] == 'Friday']
    top_categories = friday_incidents['Incident Category'].value_counts().head(3).index.tolist()
    return top_categories
",list of string,"['Larceny Theft', 'Malicious Mischief', 'Other Miscellaneous']","[Larceny Theft, Malicious Mischief, Other Miscellaneous]"
Give the 6 most common resolutions for incidents.,What are the top 6 most frequently occurring values in the Resolution column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_resolutions = dataset[""Resolution""].value_counts().head(6).index.tolist()
    return top_resolutions",list of (string),"['Open or Active', 'Cite or Arrest Adult', 'Unfounded', 'Exceptional Adult']","[Open or Active, Cite or Arrest Adult, Unfounded, Exceptional Adult]"
List the years with the top 4 highest incident counts.,What are the 4 years with the highest number of incidents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    year_counts = dataset['Incident Year'].value_counts().sort_values(ascending=False)
    top_4_years = year_counts.head(4).index.tolist()
    return top_4_years
",list of uint16,"[2018, 2019, 2022, 2021]","[2018, 2019, 2022, 2021]"
Which 3 incident years have the lowest number of online filed reports? If two have the same number choose the latest year,"What are the 3 years with the least number of online filed reports, selecting the most recent year in case of ties?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter for online filed reports
    online_reports = dataset[dataset['Filed Online'] == 'true']
    # Group by year and count incidents
    year_counts = online_reports['Incident Year'].value_counts().reset_index()
    year_counts.columns = ['Incident Year', 'Count']
    # Sort by count (ascending) and then by year (descending to break ties)
    year_counts_sorted = year_counts.sort_values(['Count', 'Incident Year'], ascending=[True, False])
    # Get the top 3 years with least counts
    top_3_years = year_counts_sorted['Incident Year'].head(3).tolist()
    
    return top_3_years
",list of (uint16),[],"[2023, 2020, 2021]"
What are the 2 years with the highest incident counts.,Which two years have the highest number of incidents recorded?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    year_counts = dataset['Incident Year'].value_counts().nlargest(2)
    top_years = year_counts.index.tolist()
    return top_years",list of (uint16),"[2018, 2019]","[2018, 2019]"
Name the 6 years with the most number of unique incident categories.,Which 6 years have the highest count of distinct incident categories?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Group by Incident Year and count distinct Incident Categories for each year
    year_category_counts = dataset.groupby('Incident Year')['Incident Category'].nunique()
    # Get the 6 years with highest count of distinct incident categories
    top_years = year_category_counts.nlargest(6).index.tolist()
    return top_years",list of (uint16),"[2018, 2019, 2020, 2021, 2022, 2023]","[2018, 2019, 2020, 2021, 2022, 2023]"
Do all patients experience exercise-induced angina?,Is the ExerciseAngina attribute set to 'Y' for every patient in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    all_exercise_angina_y = (dataset['ExerciseAngina'] == 'Y').all()
    return all_exercise_angina_y
",bool,False,False
Does any patient have a resting blood pressure above 200?,Is there at least one patient with a resting blood pressure value greater than 200?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_high_bp = (dataset[""RestingBP""] > 200).any()
    return has_high_bp
",bool,False,False
Are there patients without heart disease?,Does the dataset contain any patients where the HeartDisease attribute is 0?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_heart_disease_zero = (dataset[""HeartDisease""] == 0).any()
    return has_heart_disease_zero",bool,True,True
Does everyone have normal resting electrocardiographic results?,Are all the resting electrocardiographic results in the dataset categorized as normal?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    all_normal = (dataset[""RestingECG""] == ""Normal"").all()
    return all_normal",bool,False,False
What is the maximum age of patients in the dataset?,What is the highest age value present in the Age column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age = dataset[""Age""].max()
    return max_age
",uint8,77,77
What is the minimum resting blood pressure among the patients?,What is the smallest value in the RestingBP column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_resting_bp = dataset[""RestingBP""].min()
    return min_resting_bp
",uint8,0,0
What is the average cholesterol level in the dataset?,Calculate the mean value of the Cholesterol column in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_cholesterol = dataset[""Cholesterol""].mean()
    return mean_cholesterol
",float64,198.7995640000000,198.7995640000000
What is the standard deviation of maximum heart rate among the patients?,Calculate the standard deviation of the MaxHR values for all patients in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    std_dev = dataset[""MaxHR""].std()
    return std_dev
",float64,25.4603340000000,25.4603340000000
What is the most common chest pain type among patients?,Which chest pain type occurs most frequently in the patient records?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    chest_pain_counts = dataset[""ChestPainType""].value_counts()
    most_frequent_chest_pain = chest_pain_counts.idxmax()
    
    return most_frequent_chest_pain",string,ASY,ASY
